STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/1/90,,,73,"H,,S",80,",,S",63,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/2/90,,,71,"H,,S",82,",,S",63,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/3/90,0,"D,,S",72,"H,,S",,,66,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/4/90,,,72,"H,,S",82,",,S",67,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/5/90,,,75,"H,,S",,,65,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/6/90,0,"D,,S",74,"H,,S",84,",,S",63,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/7/90,0.01,",,S",73,"H,,S",84,",,S",64,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/8/90,0.01,",,S",73,"H,,S",84,",,S",66,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/9/90,0,",,S",71,"H,,S",,,64,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/10/90,,,72,"H,,S",82,",,S",66,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/11/90,,,71,"H,,S",81,",,S",65,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/12/90,,,73,"H,,S",81,",,S",65,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/13/90,0,"D,,S",71,"H,,S",81,",,S",63,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/14/90,,,74,"H,,S",82,",,S",63,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/15/90,,,74,"H,,S",83,",,S",70,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/16/90,,,74,"H,,S",81,",,S",,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/17/90,0,"D,,S",73,"H,,S",82,",,S",65,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/18/90,0,"D,,S",73,"H,,S",81,",,S",68,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/19/90,,,73,"H,,S",,,68,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/20/90,,,75,"H,,S",,,66,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/21/90,0,"D,,S",76,"H,,S",,,68,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/22/90,,,76,"H,,S",85,",,S",68,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/26/90,,,75,"H,,S",81,",,S",70,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/27/90,,,78,"H,,S",,,68,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/28/90,0,"D,,S",75,"H,,S",83,",,S",68,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/29/90,,,72,"H,,S",,,67,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,1/31/90,,,78,"H,,S",80,",,S",67,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/1/90,,,76,"H,,S",82,",,S",67,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/2/90,,,78,"H,,S",,,67,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/3/90,,,75,"H,,S",85,",,S",68,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/4/90,0,"D,,S",74,"H,,S",83,",,S",66,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/5/90,0,"D,,S",71,"H,,S",81,",,S",66,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/6/90,0,"D,,S",71,"H,,S",81,",,S",63,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/7/90,,,73,"H,,S",,,65,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/8/90,0,"D,,S",68,"H,,S",79,",,S",63,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/9/90,0,"D,,S",73,"H,,S",,,61,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/10/90,0,"D,,S",74,"H,,S",85,",,S",61,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/11/90,0.06,",,S",70,"H,,S",85,",,S",62,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/12/90,0,",,S",80,"H,,S",,,67,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/13/90,0,"D,,S",73,"H,,S",84,",,S",,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/14/90,0,"D,,S",72,"H,,S",83,",,S",65,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/15/90,0,"D,,S",71,"H,,S",,,60,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/16/90,,,75,"H,,S",86,",,S",64,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/17/90,0,"D,,S",70,"H,,S",85,",,S",62,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/18/90,,,73,"H,,S",,,64,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/19/90,0,"D,,S",73,"H,,S",,,62,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/20/90,0,"D,,S",71,"H,,S",85,",,S",61,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/21/90,0.07,",,S",71,"H,,S",85,",,S",61,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/22/90,1.26,",,S",75,"H,,S",,,61,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/23/90,0.07,",,S",73,"H,,S",86,",,S",62,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/24/90,0,",,S",70,"H,,S",86,",,S",62,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,2/28/90,,,69,"H,,S",80,",,S",64,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/1/90,,,79,"H,,S",,,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/2/90,,,75,"H,,S",,,62,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/3/90,0,"D,,S",71,"H,,S",84,",,S",60,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/4/90,0,"D,,S",73,"H,,S",85,",,S",60,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/5/90,0,"D,,S",74,"H,,S",86,",,S",62,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/6/90,0,"D,,S",74,"H,,S",,,65,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/7/90,0,"D,,S",75,"H,,S",84,",,S",65,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/8/90,,,71,"H,,S",,,66,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/12/90,,,81,"H,,S",,,72,",,S"
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",9.994,-84.209,920.8,3/13/90,,,76,"H,,S",84,",,S",69,",,S"
