STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/20/05,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,9/21/05,,,74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,10/3/05,0.04,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/4/11,0.04,",,S",74,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/16/11,,,78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/20/11,0.75,",,S",81,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/21/11,0.47,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/23/11,,,78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/24/11,0.12,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/25/11,0,",,S",78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/26/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/27/11,0.03,",,S",73,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/28/11,0,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/29/11,,,78,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/30/11,0.39,",,S",75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,7/31/11,0.24,",,S",73,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/1/11,0,",,S",75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/2/11,,,75,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/3/11,0,",,S",77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/4/11,0.08,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/5/11,0,",,S",76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/7/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/8/11,,,76,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/9/11,,,77,"H,,S"
ECM00084050,"LA CONCORDIA, EC",0.017,-79.367,360,8/11/11,,,74,"H,,S"
