STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/1/90,,,,,,,72,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/2/90,,,,,93,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/3/90,,,,,92,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/4/90,,,,,91,",,G",64,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/5/90,,,,,95,",,G",72,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/6/90,,,,,89,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/7/90,,,,,90,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/8/90,,,,,90,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/9/90,,,,,96,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/10/90,,,,,95,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/11/90,,,,,93,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/12/90,,,,,92,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/13/90,,,,,92,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/14/90,,,,,96,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/15/90,,,,,97,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/16/90,,,,,94,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/17/90,,,,,92,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/18/90,,,,,96,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/19/90,,,,,94,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/20/90,,,,,94,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/21/90,,,,,91,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/22/90,,,,,94,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/23/90,,,86,"H,,S",93,",,G",77,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/24/90,,,,,90,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/25/90,,,,,92,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/26/90,,,,,101,",,G",79,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/27/90,,,,,93,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/28/90,,,,,91,",,G",78,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/29/90,,,,,94,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/30/90,,,,,94,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,1/31/90,,,,,95,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/1/90,,,,,92,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/2/90,,,,,94,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/3/90,,,,,94,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/4/90,,,87,"H,,S",94,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/5/90,,,,,96,",,G",77,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/6/90,,,,,92,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/7/90,,,,,91,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/8/90,,,,,96,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/9/90,,,79,"H,,S",95,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/10/90,,,,,95,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/11/90,,,,,91,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/12/90,,,,,93,",,G",78,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/13/90,,,,,91,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/14/90,,,,,94,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/15/90,,,,,97,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/16/90,,,87,"H,,S",93,",,G",72,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/17/90,,,84,"H,,S",93,",,G",71,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/18/90,,,,,94,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/19/90,,,,,90,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/20/90,,,,,92,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/21/90,,,,,90,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/22/90,,,84,"H,,S",92,",,G",72,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/23/90,,,,,93,",,G",72,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/24/90,,,89,"H,,S",97,",,G",78,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/25/90,,,85,"H,,S",96,",,G",77,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/26/90,,,83,"H,,S",95,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/27/90,,,,,97,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,2/28/90,,,91,"H,,S",96,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/1/90,,,84,"H,,S",89,",,G",77,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/2/90,,,84,"H,,S",89,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/3/90,,,,,90,",,G",77,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/4/90,,,86,"H,,S",92,",,G",71,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/5/90,,,85,"H,,S",90,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/6/90,,,,,92,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/7/90,,,,,90,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/8/90,,,80,"H,,S",93,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/9/90,,,,,92,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/10/90,,,,,94,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/11/90,,,,,90,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/12/90,,,89,"H,,S",93,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/13/90,,,85,"H,,S",92,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/14/90,,,,,94,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/15/90,,,,,97,",,G",78,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/16/90,,,,,95,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/17/90,,,91,"H,,S",96,",,G",76,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/18/90,,,87,"H,,S",100,",,G",77,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/19/90,,,,,92,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/20/90,,,93,"H,,S",98,",,G",79,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/21/90,,,87,"H,,S",100,",,G",82,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/22/90,,,80,"H,,S",93,",,G",74,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/23/90,,,,,91,",,G",73,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/24/90,,,,,91,",,G",75,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/25/90,,,85,"H,,S",93,",,G",77,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/26/90,,,82,"H,,S",92,",,G",77,",,G"
ES000078650,"ACAJUTLA, ES",13.567,-89.833,15,3/27/90,,,,,95,",,G",79,",,G"
