STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/1/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/2/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/3/90,0.07,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/4/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/5/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/6/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/7/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/8/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/9/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/10/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/11/90,0.03,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/12/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/13/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/14/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/15/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/16/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/17/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/18/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/19/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/20/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/21/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/22/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/23/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,1/24/90,0,",,I"
