STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/1/90,,,76,"H,,S",85,",,S",,
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/2/90,0.02,",,S",76,"H,,S",85,",,S",,
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/3/90,0,"D,,S",73,"H,,S",85,",,S",62,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/4/90,0,",,S",75,"H,,S",82,",,S",62,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/5/90,0.08,",,S",78,"H,,S",,,,
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/6/90,0,",,S",77,"H,,S",,,65,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/7/90,0,",,S",75,"H,,S",85,",,S",64,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/8/90,0,",,S",73,"H,,S",,,64,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/9/90,0,",,S",76,"H,,S",,,64,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/10/90,0,",,S",74,"H,,S",86,",,S",65,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/11/90,0,",,S",74,"H,,S",86,",,S",66,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/12/90,0.01,",,S",73,"H,,S",83,",,S",65,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/13/90,0.21,",,S",73,"H,,S",80,",,S",65,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/14/90,1.15,",,S",72,"H,,S",79,",,S",65,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/15/90,0,",,S",73,"H,,S",,,65,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/16/90,0,",,S",77,"H,,S",84,",,S",66,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/17/90,0.02,",,S",76,"H,,S",84,",,S",64,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/18/90,0,",,S",76,"H,,S",84,",,S",64,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/19/90,0.01,",,S",76,"H,,S",,,65,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/20/90,0,",,S",82,"H,,S",,,66,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/21/90,0,",,S",76,"H,,S",85,",,S",66,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/22/90,0,",,S",77,"H,,S",84,",,S",67,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/23/90,0.46,",,S",75,"H,,S",84,",,S",,
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/24/90,0,",,S",73,"H,,S",85,",,S",61,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/25/90,0,",,S",73,"H,,S",85,",,S",62,",,S"
HOM00078705,"GOLOSON INTERNATIONAL, HO",15.742,-86.853,14.9,1/26/90,,,74,"H,,S",83,",,S",63,",,S"
