STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
BR00D6-0010,-22.317,-49.117,617,1/1/00,0.08,74,86,
BR00D6-0010,-22.317,-49.117,617,1/2/00,1.57,70,83,
BR00D6-0010,-22.317,-49.117,617,1/3/00,0.04,69,,65
BR00D6-0010,-22.317,-49.117,617,1/4/00,0.43,71,81,67
BR00D6-0010,-22.317,-49.117,617,1/5/00,0.87,73,,
BR00D6-0010,-22.317,-49.117,617,1/6/00,0.43,72,,
BR00D6-0010,-22.317,-49.117,617,1/7/00,0,74,82,
BR00D6-0010,-22.317,-49.117,617,1/8/00,0.08,73,,
BR00D6-0010,-22.317,-49.117,617,1/9/00,0.04,78,,
BR00D6-0010,-22.317,-49.117,617,1/10/00,0,81,,71
BR00D6-0010,-22.317,-49.117,617,1/11/00,0,77,93,
BR00D6-0010,-22.317,-49.117,617,1/12/00,0.03,77,90,71
BR00D6-0010,-22.317,-49.117,617,1/13/00,0.24,78,,
BR00D6-0010,-22.317,-49.117,617,1/14/00,0,80,,
BR00D6-0010,-22.317,-49.117,617,1/15/00,0.03,78,92,71
BR00D6-0010,-22.317,-49.117,617,1/16/00,0,79,,
BR00D6-0010,-22.317,-49.117,617,1/17/00,0.2,78,91,71
BR00D6-0010,-22.317,-49.117,617,1/18/00,0.16,78,,
BR00D6-0010,-22.317,-49.117,617,1/19/00,0,79,92,
BR00D6-0010,-22.317,-49.117,617,1/20/00,1.14,75,89,68
BR00D6-0010,-22.317,-49.117,617,1/21/00,0,75,,65
BR00D6-0010,-22.317,-49.117,617,1/22/00,,79,,
BR00D6-0010,-22.317,-49.117,617,1/23/00,,80,,70
BR00D6-0010,-22.317,-49.117,617,1/24/00,,78,92,
BR00D6-0010,-22.317,-49.117,617,1/25/00,,78,92,
BR00D6-0010,-22.317,-49.117,617,1/26/00,0.67,74,91,
BR00D6-0010,-22.317,-49.117,617,1/27/00,1.46,72,81,
BR00D6-0010,-22.317,-49.117,617,1/28/00,0,72,,62
BR00D6-0010,-22.317,-49.117,617,1/29/00,,72,,60
BR00D6-0010,-22.317,-49.117,617,1/30/00,,74,,
BR00D6-0010,-22.317,-49.117,617,1/31/00,0.03,77,,
BR00D6-0010,-22.317,-49.117,617,2/1/00,1.81,72,88,68
BR00D6-0010,-22.317,-49.117,617,2/2/00,1.1,77,,
BR00D6-0010,-22.317,-49.117,617,2/3/00,0,76,88,69
BR00D6-0010,-22.317,-49.117,617,2/4/00,0.03,76,,73
BR00D6-0010,-22.317,-49.117,617,2/5/00,0.2,77,,55
BR00D6-0010,-22.317,-49.117,617,2/6/00,0,76,,
BR00D6-0010,-22.317,-49.117,617,2/7/00,,73,89,68
BR00D6-0010,-22.317,-49.117,617,2/8/00,,76,84,69
BR00D6-0010,-22.317,-49.117,617,2/9/00,0.02,76,,70
BR00D6-0010,-22.317,-49.117,617,2/10/00,0.83,72,,
BR00D6-0010,-22.317,-49.117,617,2/11/00,1.02,71,77,70
BR00D6-0010,-22.317,-49.117,617,2/12/00,1.69,72,,69
BR00D6-0010,-22.317,-49.117,617,2/13/00,0.75,72,78,68
BR00D6-0010,-22.317,-49.117,617,2/14/00,0.24,75,,71
BR00D6-0010,-22.317,-49.117,617,2/15/00,0.04,77,86,71
BR00D6-0010,-22.317,-49.117,617,2/16/00,0,74,,
BR00D6-0010,-22.317,-49.117,617,2/17/00,1.22,66,85,
BR00D6-0010,-22.317,-49.117,617,2/18/00,0.98,69,,
BR00D6-0010,-22.317,-49.117,617,2/19/00,0,71,,
BR00D6-0010,-22.317,-49.117,617,2/20/00,,73,,66
BR00D6-0010,-22.317,-49.117,617,2/21/00,,75,,
BR00D6-0010,-22.317,-49.117,617,2/22/00,,77,87,70
BR00D6-0010,-22.317,-49.117,617,2/23/00,,74,85,
BR00D6-0010,-22.317,-49.117,617,2/24/00,0.03,78,,71
BR00D6-0010,-22.317,-49.117,617,2/25/00,0.03,79,90,71
BR00D6-0010,-22.317,-49.117,617,2/26/00,0,79,,
BR00D6-0010,-22.317,-49.117,617,2/27/00,,76,91,
BR00D6-0010,-22.317,-49.117,617,2/28/00,0.55,80,91,71
BR00D6-0010,-22.317,-49.117,617,2/29/00,0.03,76,,71
BR00D6-0010,-22.317,-49.117,617,3/1/00,0,75,,69
BR00D6-0010,-22.317,-49.117,617,3/2/00,0.31,77,,69
BR00D6-0010,-22.317,-49.117,617,3/3/00,0,78,,
BR00D6-0010,-22.317,-49.117,617,3/4/00,,77,89,
BR00D6-0010,-22.317,-49.117,617,3/5/00,0.03,80,,
BR00D6-0010,-22.317,-49.117,617,3/6/00,0,78,89,70
BR00D6-0010,-22.317,-49.117,617,3/7/00,0.2,74,,
BR00D6-0010,-22.317,-49.117,617,3/8/00,1.1,71,85,
BR00D6-0010,-22.317,-49.117,617,3/9/00,0,70,,
BR00D6-0010,-22.317,-49.117,617,3/10/00,,72,,63
BR00D6-0010,-22.317,-49.117,617,3/11/00,0.04,72,,65
BR00D6-0010,-22.317,-49.117,617,3/12/00,0,73,,
BR00D6-0010,-22.317,-49.117,617,3/13/00,,72,,
BR00D6-0010,-22.317,-49.117,617,3/14/00,,73,84,64
BR00D6-0010,-22.317,-49.117,617,3/15/00,0.03,72,,
BR00D6-0010,-22.317,-49.117,617,3/16/00,0.51,74,85,68
BR00D6-0010,-22.317,-49.117,617,3/17/00,0.08,74,85,69
BR00D6-0010,-22.317,-49.117,617,3/18/00,0.04,76,,71
BR00D6-0010,-22.317,-49.117,617,3/19/00,0.03,74,84,68
BR00D6-0010,-22.317,-49.117,617,3/20/00,0,72,81,66
BR00D6-0010,-22.317,-49.117,617,3/21/00,,72,,
BR00D6-0010,-22.317,-49.117,617,3/22/00,0.12,74,,
BR00D6-0010,-22.317,-49.117,617,3/23/00,0.08,74,,
BR00D6-0010,-22.317,-49.117,617,3/24/00,0.24,77,,69
BR00D6-0010,-22.317,-49.117,617,3/25/00,0,76,89,68
BR00D6-0010,-22.317,-49.117,617,3/26/00,,74,,
BR00D6-0010,-22.317,-49.117,617,3/27/00,0.28,74,87,
BR00D6-0010,-22.317,-49.117,617,3/28/00,0.02,74,83,70
BR00D6-0010,-22.317,-49.117,617,3/29/00,0.43,71,82,
BR00D6-0010,-22.317,-49.117,617,3/30/00,0,72,,64
BR00D6-0010,-22.317,-49.117,617,3/31/00,,74,,65
BR00D6-0010,-22.317,-49.117,617,4/1/00,,77,,
BR00D6-0010,-22.317,-49.117,617,4/2/00,,74,88,
BR00D6-0010,-22.317,-49.117,617,4/3/00,,71,83,
BR00D6-0010,-22.317,-49.117,617,4/4/00,,71,,
BR00D6-0010,-22.317,-49.117,617,4/5/00,,72,,
BR00D6-0010,-22.317,-49.117,617,4/6/00,,73,85,
BR00D6-0010,-22.317,-49.117,617,4/7/00,,74,85,
BR00D6-0010,-22.317,-49.117,617,4/8/00,,77,,68
BR00D6-0010,-22.317,-49.117,617,4/9/00,,78,,68
BR00D6-0010,-22.317,-49.117,617,4/10/00,,76,89,66
BR00D6-0010,-22.317,-49.117,617,4/11/00,,78,,
BR00D6-0010,-22.317,-49.117,617,4/12/00,,79,90,69
BR00D6-0010,-22.317,-49.117,617,4/13/00,,80,,68
BR00D6-0010,-22.317,-49.117,617,4/14/00,,79,,
BR00D6-0010,-22.317,-49.117,617,4/15/00,,78,89,67
BR00D6-0010,-22.317,-49.117,617,4/16/00,,75,89,
