STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
827040,99999, 20070102,   80.6,15,   75.6,15, 9999.9, 0, 9999.9, 0,   5.5,15,   1.3,15,   4.1, 999.9,   91.4*,  71.6*,99.99 ,999.9, 110000,
827040,99999, 20070103,   80.2,12,   75.5,12, 9999.9, 0, 9999.9, 0,   5.5,12,   0.4,12,   5.1, 999.9,   87.8*,  73.4*,99.99 ,999.9, 010000,
827040,99999, 20070104,   79.4,13,   75.2,13, 9999.9, 0, 9999.9, 0,   5.8,13,   1.4,13,   5.1, 999.9,   86.0*,  71.6*,99.99 ,999.9, 010000,
827040,99999, 20070105,   83.9,13,   75.6,13, 9999.9, 0, 9999.9, 0,   6.4,13,   1.8,13,   7.0, 999.9,   89.6*,  73.4*, 0.00I,999.9, 000000,
827040,99999, 20070106,   80.3,12,   76.7,12, 9999.9, 0, 9999.9, 0,   6.0,12,   3.4,12,   7.0, 999.9,   86.0*,  73.4*,99.99 ,999.9, 010000,
827040,99999, 20070107,   81.8,13,   77.3,13, 9999.9, 0, 9999.9, 0,   6.8,13,   2.2,13,   8.0, 999.9,   86.0*,  75.2*, 0.00I,999.9, 000000,
827040,99999, 20070108,   79.6,16,   76.3,16, 9999.9, 0, 9999.9, 0,   6.8,16,   0.7,16,   6.0, 999.9,   89.6*,  75.2*,99.99 ,999.9, 010000,
827040,99999, 20070109,   78.0,13,   75.5,13, 9999.9, 0, 9999.9, 0,   6.1,13,   2.3,13,   5.1, 999.9,   80.6*,  73.4*,99.99 ,999.9, 010000,
827040,99999, 20070110,   80.6,13,   75.6,13, 9999.9, 0, 9999.9, 0,   6.0,13,   1.4,13,   4.1, 999.9,   87.8*,  73.4*, 0.00I,999.9, 100000,
827040,99999, 20070111,   80.9,13,   76.7,13, 9999.9, 0, 9999.9, 0,   6.8,13,   1.9,13,   6.0, 999.9,   89.6*,  73.4*,99.99 ,999.9, 010000,
827040,99999, 20070112,   81.9,12,   77.0,12, 9999.9, 0, 9999.9, 0,   6.2,12,   2.8,12,   8.9, 999.9,   89.6*,  73.4*,99.99 ,999.9, 110010,
827040,99999, 20070113,   82.8,13,   75.8,13, 9999.9, 0, 9999.9, 0,   7.0,13,   0.7,13,   5.1, 999.9,   89.6*,  75.2*, 0.00I,999.9, 000000,
827040,99999, 20070114,   82.4,18,   75.2,18, 9999.9, 0, 9999.9, 0,   6.0,18,   1.5,18,   6.0, 999.9,   93.2*,  71.6*, 0.00I,999.9, 000000,
827040,99999, 20070115,   79.1,19,   77.9,19, 9999.9, 0, 9999.9, 0,   4.4,19,   1.9,19,   7.0, 999.9,   86.0*,  77.0*,99.99 ,999.9, 010000,
827040,99999, 20070116,   81.3,13,   77.3,13, 9999.9, 0, 9999.9, 0,   6.7,13,   2.5,13,   8.9, 999.9,   89.6*,  75.2*,99.99 ,999.9, 010010,
827040,99999, 20070117,   78.9,16,   76.3,16, 9999.9, 0, 9999.9, 0,   5.7,16,   1.9,15,   6.0, 999.9,   86.0*,  73.4*,99.99 ,999.9, 010000,
827040,99999, 20070118,   81.5,12,   77.6,12, 9999.9, 0, 9999.9, 0,   6.4,12,   1.2,12,   6.0, 999.9,   86.0*,  75.2*,99.99 ,999.9, 010000,
