STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/1/00,,74,82,59
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/2/00,,72,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/3/00,,73,81,63
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/4/00,,71,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/5/00,,70,80,63
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/6/00,,70,80,65
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/7/00,0,71,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/8/00,0.14,70,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/9/00,0.15,71,82,65
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/10/00,0,71,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/11/00,,76,81,63
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/12/00,,73,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/13/00,,74,80,68
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/14/00,,71,82,67
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/15/00,,68,79,65
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/16/00,,73,79,57
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/17/00,,73,79,57
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/18/00,,71,80,64
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/19/00,,70,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/20/00,,71,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/21/00,,71,82,62
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/22/00,,72,82,66
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/23/00,,72,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/24/00,,74,,
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/25/00,,73,84,61
CSM00078762,"JUAN SANTAMARIA INTERNATIONAL, CS",1/26/00,,69,,
