STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
787620,99999, 20070102,   74.2,24,   60.3,24, 1009.5, 8,  908.6, 8,   8.6,24,  15.2,24,  20.0,  36.9,   84.4 ,  64.9 , 0.00I,999.9, 000000,
787620,99999, 20070103,   75.0,24,   60.9,24, 1010.0, 4,  909.0, 4,   7.7,24,  14.8,24,  20.0,  37.9,   83.3 ,  59.4 , 0.00I,999.9, 000000,
787620,99999, 20070104,   73.1,24,   62.2,24, 1009.0, 5,  908.3, 5,   7.8,24,  13.2,24,  19.0,  28.0,   80.6*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070105,   73.5,24,   64.1,24, 1008.3, 5,  907.4, 5,   7.9,24,   7.8,24,  15.0, 999.9,   82.4*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070106,   75.0,22,   64.4,22, 9999.9, 0, 9999.9, 0,   7.3,22,   9.0,22,  15.9,  25.1,   84.4 ,  66.7 , 0.00I,999.9, 000000,
787620,99999, 20070107,   73.8,24,   59.5,24, 1008.5, 8,  907.8, 8,   8.4,24,  14.3,24,  20.0,  36.9,   83.5 ,  67.6 , 0.00I,999.9, 000000,
787620,99999, 20070108,   73.5,22,   56.9,21, 1010.1, 4,  908.8, 4,   7.5,22,  13.0,22,  19.0,  29.9,   82.4*,  65.8*, 0.00I,999.9, 000000,
787620,99999, 20070109,   72.7,24,   58.4,24, 9999.9, 0, 9999.9, 0,   7.3,24,  16.1,24,  23.9, 999.9,   78.8*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070110,   72.9,23,   58.2,23, 9999.9, 0, 9999.9, 0,   7.2,23,  16.9,23,  21.0,  36.9,   80.6*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070111,   72.5,24,   57.0,24, 1010.1, 4,  909.0, 4,   7.4,24,  16.0,24,  20.0,  25.1,   82.8 ,  66.9 , 0.00I,999.9, 000000,
787620,99999, 20070112,   73.0,24,   58.7,24, 1009.6, 8,  908.5, 8,   8.5,24,  17.2,24,  25.3,  36.9,   82.4 ,  67.3 , 0.00I,999.9, 000000,
787620,99999, 20070113,   74.9,24,   59.2,23, 1008.8, 6,  908.0, 6,   8.1,24,  15.6,24,  22.9,  42.9,   82.4 ,  67.3 , 0.00I,999.9, 000000,
787620,99999, 20070114,   74.9,23,   59.7,23, 1008.6, 4,  908.0, 4,   7.7,23,  15.6,23,  22.9,  28.9,   83.5 ,  68.9 , 0.00I,999.9, 000000,
787620,99999, 20070115,   75.0,22,   60.7,22, 1008.0, 5,  907.1, 5,   8.0,22,  16.6,22,  20.0,  30.9,   82.6 ,  68.9 , 0.00I,999.9, 000000,
787620,99999, 20070116,   74.2,24,   60.3,24, 1008.6, 5,  907.7, 5,   8.0,24,  16.4,24,  21.0,  32.1,   82.9 ,  68.9 , 0.00I,999.9, 000000,
787620,99999, 20070117,   73.1,24,   59.6,24, 1009.2, 7,  908.4, 8,   8.6,24,  17.4,24,  21.0,  39.0,   81.5 ,  68.0 , 0.00I,999.9, 000000,
787620,99999, 20070118,   71.3,22,   59.1,22, 1010.9, 6,  909.6, 6,   8.4,22,  17.2,22,  22.9,  42.9,   81.5 ,  66.9 , 0.00I,999.9, 000000,
787620,99999, 20070119,   70.9,24,   56.5,24, 1011.7, 5,  909.7, 5,   7.8,24,  16.1,24,  21.0,  26.0,   80.6*,  65.7*, 0.00I,999.9, 000000,
787620,99999, 20070120,   72.4,23,   59.4,23, 1011.2, 5,  909.5, 5,   7.8,23,  14.5,23,  18.1,  30.9,   80.8*,  64.4*, 0.00I,999.9, 000000,
787620,99999, 20070121,   73.2,24,   57.3,24, 9999.9, 0, 9999.9, 0,   7.1,24,  12.6,24,  18.1, 999.9,   84.2*,  64.4*, 0.00I,999.9, 000000,
787620,99999, 20070122,   73.7,22,   59.7,22, 1010.3, 6,  909.1, 6,   8.2,22,  11.2,22,  15.0,  25.1,   84.7 ,  63.9 , 0.00I,999.9, 000000,
787620,99999, 20070123,   74.4,24,   61.6,24, 9999.9, 0, 9999.9, 0,   6.5,24,  11.7,24,  18.1,  32.1,   84.2*,  66.2*, 0.00I,999.9, 000000,
787620,99999, 20070124,   74.8,24,   59.5,24, 9999.9, 0, 9999.9, 0,   6.6,24,  12.0,24,  18.1,  20.0,   84.2*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070125,   73.6,24,   61.8,24, 9999.9, 0, 9999.9, 0,   6.7,24,  10.3,24,  14.0, 999.9,   82.4*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070126,   71.6,23,   59.9,23, 9999.9, 0, 9999.9, 0,   7.0,23,  12.6,23,  21.0,  26.0,   77.0*,  66.2*, 0.00I,999.9, 000000,
787620,99999, 20070127,   72.2,24,   59.1,24, 9999.9, 0, 9999.9, 0,   6.3,24,  11.0,24,  20.0,  22.0,   82.4*,  66.2*, 0.00I,999.9, 000000,
787620,99999, 20070128,   72.8,24,   59.7,24, 9999.9, 0, 9999.9, 0,   6.5,24,  11.3,24,  18.1,  30.9,   82.4*,  66.2*, 0.00I,999.9, 000000,
787620,99999, 20070129,   72.6,24,   60.9,24, 9999.9, 0, 9999.9, 0,   6.6,24,  14.8,24,  18.1,  22.0,   82.4*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070130,   73.9,23,   61.3,23, 9999.9, 0, 9999.9, 0,   7.0,23,  14.0,23,  19.0,  33.0,   82.4*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070131,   73.5,23,   59.8,23, 9999.9, 0, 9999.9, 0,   6.6,23,  12.0,23,  15.9, 999.9,   84.2*,  66.2*, 0.00I,999.9, 000000,
787620,99999, 20070201,   75.0,22,   61.3,22, 9999.9, 0, 9999.9, 0,   6.5,22,   8.9,22,  15.9, 999.9,   86.0*,  66.2*, 0.00I,999.9, 000000,
787620,99999, 20070202,   73.7,23,   60.6,23, 9999.9, 0, 9999.9, 0,   6.4,23,   7.0,22,  13.0,  22.0,   87.8*,  62.6*, 0.00I,999.9, 000000,
787620,99999, 20070203,   73.2,23,   59.7,23, 9999.9, 0, 9999.9, 0,   6.6,23,   9.4,23,  15.0,  22.0,   84.2*,  62.6*, 0.00I,999.9, 000000,
787620,99999, 20070204,   74.1,23,   57.9,23, 9999.9, 0, 9999.9, 0,   6.7,23,  13.8,23,  19.0,  29.9,   84.2*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070205,   74.9,23,   57.4,23, 9999.9, 0, 9999.9, 0,   6.4,23,  13.0,23,  16.9,  28.0,   84.2*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070206,   73.8,24,   57.1,24, 9999.9, 0, 9999.9, 0,   6.4,24,  15.2,24,  25.1,  36.9,   82.4*,  68.0*, 0.00I,999.9, 000000,
787620,99999, 20070207,   72.0,24,   55.7,24, 9999.9, 0, 9999.9, 0,   6.6,24,  13.3,24,  19.0,  35.9,   82.4*,  64.4*, 0.00I,999.9, 000000,
787620,99999, 20070208,   72.6,24,   54.6,24, 9999.9, 0, 9999.9, 0,   6.5,24,  13.5,24,  16.9, 999.9,   84.2*,  64.4*, 0.00I,999.9, 000000,
787620,99999, 20070209,   73.7,22,   56.5,22, 9999.9, 0, 9999.9, 0,   6.4,22,  10.9,22,  14.0, 999.9,   84.2*,  64.4*, 0.00I,999.9, 000000,
787620,99999, 20070210,   72.9,23,   56.9,23, 9999.9, 0, 9999.9, 0,   6.4,23,   9.9,23,  15.9,  23.9,   84.2*,  64.4*, 0.00I,999.9, 000000,
787620,99999, 20070211,   73.2,23,   59.2,23, 9999.9, 0, 9999.9, 0,   6.3,23,  10.3,23,  15.9,  22.0,   84.2*,  62.6*, 0.00I,999.9, 000000,
787620,99999, 20070212,   74.9,24,   60.3,24, 9999.9, 0, 9999.9, 0,   6.4,24,   9.7,24,  14.0,  26.0,   87.8*,  66.2*, 0.00I,999.9, 000000,
787620,99999, 20070213,   74.0,23,   60.5,23, 9999.9, 0, 9999.9, 0,   6.5,23,   7.0,23,  13.0, 999.9,   87.8*,  62.6*, 0.00I,999.9, 000000,
787620,99999, 20070214,   73.8,22,   60.8,22, 9999.9, 0, 9999.9, 0,   6.7,22,   6.1,22,  14.0, 999.9,   86.0*,  60.8*, 0.00I,999.9, 000000,
787620,99999, 20070215,   74.8,23,   60.8,23, 9999.9, 0, 9999.9, 0,   6.6,23,   6.6,23,  12.0, 999.9,   87.8*,  64.4*, 0.00I,999.9, 000000,
787620,99999, 20070216,   73.7,24,   51.9,24, 9999.9, 0, 9999.9, 0,   6.4,24,   6.3,24,  14.0, 999.9,   89.6*,  60.8*, 0.00I,999.9, 000000,
787620,99999, 20070217,   72.9,24,   54.9,24, 9999.9, 0, 9999.9, 0,   6.5,24,   9.0,24,  18.1,  28.0,   84.2*,  62.6*, 0.00I,999.9, 000000,
787620,99999, 20070218,   73.0,24,   54.6,24, 9999.9, 0, 9999.9, 0,   6.4,24,  15.3,24,  23.9,  30.9,   82.4*,  59.0*, 0.00I,999.9, 000000,
787620,99999, 20070219,   71.0,23,   58.5,23, 9999.9, 0, 9999.9, 0,   7.0,22,  12.9,23,  23.9,  33.0,   78.8*,  62.6*, 0.00I,999.9, 000000,
787620,99999, 20070220,   71.8,24,   59.6,24, 9999.9, 0, 9999.9, 0,   6.8,24,  14.9,24,  20.0,  26.0,   80.6*,  66.2*,99.99 ,999.9, 010000,
