STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
ECM00084270,"LOJA LA ARGELIA, EC",10/23/01,0,62,76,
ECM00084270,"LOJA LA ARGELIA, EC",9/20/05,,69,77,
ECM00084270,"LOJA LA ARGELIA, EC",9/21/05,,64,78,
ECM00084270,"LOJA LA ARGELIA, EC",10/3/05,,68,79,
ECM00084270,"LOJA LA ARGELIA, EC",7/4/11,0.28,60,68,55
ECM00084270,"LOJA LA ARGELIA, EC",7/16/11,,61,70,52
ECM00084270,"LOJA LA ARGELIA, EC",7/20/11,0.04,60,66,55
ECM00084270,"LOJA LA ARGELIA, EC",7/21/11,0,62,68,57
ECM00084270,"LOJA LA ARGELIA, EC",7/23/11,0.2,60,64,56
ECM00084270,"LOJA LA ARGELIA, EC",7/24/11,0.24,60,64,56
ECM00084270,"LOJA LA ARGELIA, EC",7/25/11,0,60,63,57
ECM00084270,"LOJA LA ARGELIA, EC",7/26/11,,60,65,54
ECM00084270,"LOJA LA ARGELIA, EC",7/27/11,0.03,58,65,54
ECM00084270,"LOJA LA ARGELIA, EC",7/28/11,0.08,59,66,50
ECM00084270,"LOJA LA ARGELIA, EC",7/29/11,0,62,74,46
ECM00084270,"LOJA LA ARGELIA, EC",7/30/11,0.03,64,75,56
ECM00084270,"LOJA LA ARGELIA, EC",7/31/11,0.12,62,75,56
ECM00084270,"LOJA LA ARGELIA, EC",8/1/11,0.2,62,75,53
ECM00084270,"LOJA LA ARGELIA, EC",8/2/11,0.03,66,73,56
ECM00084270,"LOJA LA ARGELIA, EC",8/3/11,0,62,73,57
ECM00084270,"LOJA LA ARGELIA, EC",8/4/11,0.2,62,68,57
ECM00084270,"LOJA LA ARGELIA, EC",8/5/11,0.04,61,68,57
ECM00084270,"LOJA LA ARGELIA, EC",8/7/11,0.02,61,66,57
ECM00084270,"LOJA LA ARGELIA, EC",8/8/11,0.02,61,66,58
ECM00084270,"LOJA LA ARGELIA, EC",8/9/11,0.01,61,66,59
ECM00084270,"LOJA LA ARGELIA, EC",8/11/11,0.12,61,,58
ECM00084270,"LOJA LA ARGELIA, EC",8/12/11,0,64,71,56
ECM00084270,"LOJA LA ARGELIA, EC",8/13/11,,62,71,49
ECM00084270,"LOJA LA ARGELIA, EC",8/14/11,,63,71,53
ECM00084270,"LOJA LA ARGELIA, EC",8/15/11,,63,71,56
ECM00084270,"LOJA LA ARGELIA, EC",8/16/11,,61,68,56
