STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
840360,99999, 20110716,   58.9, 5,   47.7, 5, 9999.9, 0, 1006.9, 5,  11.6, 5,   3.2, 5,   4.1, 999.9,   69.4 ,  40.6 , 0.16G,999.9, 010000,
840360,99999, 20110720,   51.1, 4,   42.6, 4, 9999.9, 0, 1007.4, 4,  11.8, 4,   4.0, 4,   8.0, 999.9,   62.6 ,  32.4 , 0.00I,999.9, 000000,
840360,99999, 20110721,   55.7, 4,   48.3, 4, 9999.9, 0, 1007.7, 4,  10.1, 4,   3.0, 4,   4.1, 999.9,   64.0 ,  40.1 , 0.00I,999.9, 000000,
840360,99999, 20110723,   53.9, 5,   49.2, 5, 9999.9, 0, 1008.4, 5,   8.0, 5,   4.0, 5,   8.0, 999.9,   61.5 ,  45.0 , 0.28G,999.9, 010000,
840360,99999, 20110724,   52.6, 5,   49.6, 5, 9999.9, 0, 1008.9, 5,   8.6, 5,   3.2, 5,   6.0, 999.9,   60.3 ,  43.5 , 0.16G,999.9, 010000,
840360,99999, 20110725,   52.7, 4,   47.3, 4, 9999.9, 0, 1008.3, 4,   8.1, 4,   4.0, 4,   8.0, 999.9,   60.3 ,  41.9 , 0.24G,999.9, 010000,
840360,99999, 20110726,   53.3, 5,   47.5, 5, 9999.9, 0, 1008.0, 5,   8.5, 5,   3.6, 5,   8.0, 999.9,   59.4 ,  42.4 , 0.08G,999.9, 000000,
840360,99999, 20110727,   54.0, 4,   49.1, 4, 9999.9, 0, 1008.5, 4,   8.2, 4,   2.5, 4,   4.1, 999.9,   58.3 ,  44.6 , 0.02G,999.9, 000000,
840360,99999, 20110728,   54.9, 5,   49.9, 5, 9999.9, 0, 1008.5, 5,   8.9, 5,   4.4, 5,   8.0, 999.9,   62.2 ,  42.3 , 0.04G,999.9, 000000,
840360,99999, 20110729,   56.5, 5,   48.3, 5, 9999.9, 0, 1007.7, 5,  11.8, 5,   2.4, 5,   4.1, 999.9,   66.6 ,  39.4 , 0.02G,999.9, 000000,
840360,99999, 20110730,   55.6, 5,   49.0, 5, 9999.9, 0, 1008.2, 5,  10.8, 5,   2.4, 5,   4.1, 999.9,   66.6 ,  41.9 , 0.51G,999.9, 010000,
840360,99999, 20110731,   57.5, 4,   48.6, 4, 9999.9, 0, 1007.8, 4,  11.7, 4,   3.0, 4,   4.1, 999.9,   65.1 ,  41.4 , 0.31G,999.9, 010000,
840360,99999, 20110801,   57.2, 4,   49.9, 4, 9999.9, 0, 1007.9, 4,  11.7, 4,   3.5, 4,   6.0, 999.9,   68.0 ,  43.2 , 0.39G,999.9, 010010,
840360,99999, 20110803,   54.5, 4,   48.2, 4, 9999.9, 0, 1008.2, 4,  11.0, 4,   3.0, 4,   4.1, 999.9,   65.8 ,  38.8 , 0.00I,999.9, 000000,
840360,99999, 20110804,   56.7, 5,   47.8, 5, 9999.9, 0, 1007.3, 5,  12.2, 5,   2.4, 5,   4.1, 999.9,   63.5 ,  43.2 , 0.00I,999.9, 000000,
840360,99999, 20110805,   55.3, 5,   47.5, 5, 9999.9, 0, 1007.7, 5,  11.2, 5,   3.7, 5,   4.1, 999.9,   63.5 ,  41.7 , 0.00I,999.9, 000000,
840360,99999, 20110807,   53.3, 5,   44.9, 5, 9999.9, 0, 1007.2, 5,  12.2, 5,   4.4, 5,   8.0, 999.9,   64.0 ,  48.9 , 0.00I,999.9, 000000,
840360,99999, 20110808,   55.0, 5,   46.1, 5, 9999.9, 0, 1006.9, 5,  11.8, 5,   4.8, 5,   8.0, 999.9,   61.2 ,  43.9 , 0.02G,999.9, 000000,
840360,99999, 20110809,   51.8, 5,   47.6, 5, 9999.9, 0, 1008.8, 5,   8.7, 5,   3.6, 5,   8.0, 999.9,   61.2 ,  39.6 , 0.04G,999.9, 010000,
840360,99999, 20110811,   50.2, 4,   47.3, 4, 9999.9, 0, 1009.1, 4,   9.8, 4,   3.5, 4,   4.1, 999.9,   59.5 ,  43.5 , 0.04G,999.9, 010000,
840360,99999, 20110812,   53.7, 4,   44.8, 4, 9999.9, 0, 9999.9, 0,  11.8, 4,   3.5, 4,   6.0, 999.9,   63.3 ,  38.1 , 0.12G,999.9, 000000,
840360,99999, 20110813,   54.2, 5,   49.1, 5, 9999.9, 0, 1008.7, 5,  10.3, 5,   3.6, 5,   6.0, 999.9,   63.3 ,  40.6 , 0.02G,999.9, 000000,
840360,99999, 20110814,   54.2, 5,   47.4, 5, 9999.9, 0, 1008.0, 5,  11.9, 5,   4.0, 5,   8.0, 999.9,   64.0 ,  41.4 , 0.00G,999.9, 000000,
840360,99999, 20110815,   55.1, 5,   49.1, 5, 9999.9, 0, 1008.2, 5,   8.9, 5,   3.2, 5,   4.1, 999.9,   64.0 ,  43.7 , 0.04G,999.9, 010000,
840360,99999, 20110816,   56.0, 4,   48.1, 4, 9999.9, 0, 1007.5, 4,  10.6, 4,   3.0, 4,   4.1, 999.9,   60.4*,  44.2 , 0.02G,999.9, 000000,
840360,99999, 20110817,   57.5, 4,   47.3, 4, 9999.9, 0, 1007.0, 4,  12.1, 4,   3.5, 4,   4.1, 999.9,   64.8 ,  35.2 , 0.00G,999.9, 000000,
840360,99999, 20110818,   56.3, 4,   48.2, 4, 9999.9, 0, 1007.6, 4,  11.8, 4,   2.5, 4,   4.1, 999.9,   65.8 ,  40.8 ,99.99 ,999.9, 010000,
840360,99999, 20110819,   55.2, 4,   46.0, 4, 9999.9, 0, 1007.2, 4,  12.1, 4,   3.5, 4,   6.0, 999.9,   65.8 ,  34.2 , 0.00I,999.9, 000000,
840360,99999, 20110820,   57.7, 4,   49.1, 4, 9999.9, 0, 1007.4, 4,  12.1, 4,   3.0, 4,   4.1, 999.9,   66.6 ,  47.8 , 0.20G,999.9, 000000,
840360,99999, 20110821,   57.0, 5,   46.3, 5, 9999.9, 0, 1006.8, 5,  12.4, 5,   3.8, 5,   8.0, 999.9,   66.0 ,  45.7 , 0.35G,999.9, 000000,
840360,99999, 20110822,   53.6, 4,   47.8, 4, 9999.9, 0, 1008.0, 4,  10.9, 4,   2.5, 4,   4.1, 999.9,   66.0 ,  39.7 , 0.39G,999.9, 010000,
840360,99999, 20110823,   55.6, 4,   48.9, 4, 9999.9, 0, 1008.1, 4,  12.1, 4,   2.8, 4,   4.1, 999.9,   66.6 ,  39.0 , 0.04G,999.9, 000000,
840360,99999, 20110824,   54.0, 4,   40.0, 4, 9999.9, 0, 1008.0, 4,  11.3, 4,   2.5, 4,   4.1, 999.9,   65.1 ,  37.8 , 0.00G,999.9, 000000,
840360,99999, 20110910,   54.6, 4,   49.2, 4, 9999.9, 0, 1008.2, 4,  12.1, 4,   1.9, 4,   1.9, 999.9,   69.1 ,  42.4 , 0.08G,999.9, 000000,
840360,99999, 20110911,   52.4, 4,   48.2, 4, 9999.9, 0, 1008.4, 4,  12.1, 4,   1.5, 4,   1.9, 999.9,   61.5 ,  48.7 , 0.00G,999.9, 000000,
840360,99999, 20110912,   51.8, 5,   48.0, 5, 9999.9, 0, 1008.8, 5,  10.4, 5,   3.6, 5,   8.0, 999.9,   57.9 ,  42.1 , 0.16G,999.9, 000000,
840360,99999, 20110913,   53.1, 4,   46.5, 4, 9999.9, 0, 1007.9, 4,  10.9, 4,   4.0, 4,   8.0, 999.9,   57.9*,  39.9 , 0.00G,999.9, 000000,
840360,99999, 20110914,   56.8, 5,   46.3, 5, 9999.9, 0, 1006.7, 5,  10.3, 5,   4.0, 5,   8.0, 999.9,   65.1 ,  39.6 , 0.00I,999.9, 000000,
840360,99999, 20110917,   56.0, 5,   48.7, 5, 9999.9, 0, 1007.6, 5,  11.1, 5,   3.3, 5,   4.1, 999.9,   63.7 ,  43.2 , 0.00I,999.9, 000000,
840360,99999, 20110918,   53.9, 4,   48.3, 4, 9999.9, 0, 1008.1, 4,  11.2, 4,   3.5, 4,   6.0, 999.9,   64.8 ,  41.4 , 0.00I,999.9, 000000,
840360,99999, 20110919,   54.1, 5,   47.6, 5, 9999.9, 0, 1008.0, 5,  12.2, 5,   4.0, 5,   6.0, 999.9,   64.8 ,  45.7 , 0.16G,999.9, 000000,
840360,99999, 20110920,   54.8, 5,   47.6, 5, 9999.9, 0, 1007.6, 5,  11.9, 5,   4.0, 5,   8.0, 999.9,   64.0 ,  40.8 , 0.02G,999.9, 000000,
840360,99999, 20110922,   55.5, 5,   50.0, 5, 9999.9, 0, 1008.1, 5,  10.9, 5,   4.0, 5,   6.0, 999.9,   64.0 ,  41.4 , 0.04G,999.9, 010000,
840360,99999, 20110923,   58.6, 5,   47.4, 5, 9999.9, 0, 1006.7, 5,  12.4, 5,   3.2, 5,   6.0, 999.9,   69.6 ,  44.8*, 0.00G,999.9, 000000,
840360,99999, 20110924,   57.6, 5,   49.1, 5, 9999.9, 0, 1007.4, 5,  11.6, 5,   3.2, 5,   6.0, 999.9,   69.6 ,  41.4 , 0.00I,999.9, 000000,
840360,99999, 20110925,   55.3, 5,   50.4, 5, 9999.9, 0, 1008.3, 5,  10.6, 5,   4.4, 5,   8.0, 999.9,   66.9 ,  42.1 , 0.59G,999.9, 000000,
840360,99999, 20110926,   53.6, 5,   50.4, 5, 9999.9, 0, 1008.7, 5,   9.1, 5,   4.0, 5,   8.0, 999.9,   59.4 ,  45.7 , 0.00G,999.9, 010000,
840360,99999, 20110927,   54.8, 5,   49.8, 5, 9999.9, 0, 1008.4, 5,   8.0, 5,   4.4, 5,   8.0, 999.9,   60.1 ,  42.8 , 0.08G,999.9, 010000,
840360,99999, 20110928,   53.0, 5,   48.8, 5, 9999.9, 0, 1008.6, 5,   7.8, 5,   2.8, 5,   4.1, 999.9,   60.1 ,  37.6 , 0.08G,999.9, 000000,
840360,99999, 20110929,   55.9, 4,   48.1, 4, 9999.9, 0, 1007.5, 4,   7.8, 4,   3.0, 4,   4.1, 999.9,   64.8 ,  44.1 , 0.01G,999.9, 000000,
840360,99999, 20110930,   56.6, 4,   49.2, 4, 9999.9, 0, 1007.7, 4,   5.6, 4,   4.5, 4,   8.0, 999.9,   65.5 ,  38.1 , 0.00G,999.9, 000000,
