STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
ES003800510,"SAN SALVADOR ILOPAN, ES",1/10/00,,85,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/11/00,,69,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/12/00,,82,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/13/00,,76,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/14/00,,76,89,61
ES003800510,"SAN SALVADOR ILOPAN, ES",1/16/00,,79,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/17/00,,73,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/18/00,,71,85,60
ES003800510,"SAN SALVADOR ILOPAN, ES",1/19/00,,75,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/20/00,,73,86,60
ES003800510,"SAN SALVADOR ILOPAN, ES",1/21/00,,73,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/22/00,,73,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/23/00,,72,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/24/00,,88,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/25/00,,74,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/26/00,,74,89,60
ES003800510,"SAN SALVADOR ILOPAN, ES",1/27/00,,74,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/28/00,,71,87,58
ES003800510,"SAN SALVADOR ILOPAN, ES",1/29/00,,74,,
ES003800510,"SAN SALVADOR ILOPAN, ES",1/30/00,,74,88,59
ES003800510,"SAN SALVADOR ILOPAN, ES",1/31/00,,76,87,59
ES003800510,"SAN SALVADOR ILOPAN, ES",2/1/00,,74,88,61
ES003800510,"SAN SALVADOR ILOPAN, ES",2/2/00,,76,,
ES003800510,"SAN SALVADOR ILOPAN, ES",2/3/00,,77,90,60
ES003800510,"SAN SALVADOR ILOPAN, ES",2/4/00,,78,90,60
ES003800510,"SAN SALVADOR ILOPAN, ES",2/5/00,,77,88,63
ES003800510,"SAN SALVADOR ILOPAN, ES",2/6/00,,75,88,64
ES003800510,"SAN SALVADOR ILOPAN, ES",2/7/00,,75,,
ES003800510,"SAN SALVADOR ILOPAN, ES",2/8/00,,73,88,63
ES003800510,"SAN SALVADOR ILOPAN, ES",2/9/00,,72,86,64
ES003800510,"SAN SALVADOR ILOPAN, ES",2/10/00,,73,,
ES003800510,"SAN SALVADOR ILOPAN, ES",2/11/00,,74,88,60
ES003800510,"SAN SALVADOR ILOPAN, ES",2/12/00,,76,89,60
ES003800510,"SAN SALVADOR ILOPAN, ES",2/13/00,,75,88,60
ES003800510,"SAN SALVADOR ILOPAN, ES",2/14/00,,76,88,61
ES003800510,"SAN SALVADOR ILOPAN, ES",2/15/00,,76,88,62
ES003800510,"SAN SALVADOR ILOPAN, ES",2/16/00,,77,89,64
ES003800510,"SAN SALVADOR ILOPAN, ES",2/17/00,,76,89,63
ES003800510,"SAN SALVADOR ILOPAN, ES",2/18/00,,76,90,62
ES003800510,"SAN SALVADOR ILOPAN, ES",2/19/00,,74,89,58
ES003800510,"SAN SALVADOR ILOPAN, ES",2/20/00,,76,89,58
ES003800510,"SAN SALVADOR ILOPAN, ES",2/21/00,,77,89,58
ES003800510,"SAN SALVADOR ILOPAN, ES",2/22/00,,76,89,58
ES003800510,"SAN SALVADOR ILOPAN, ES",2/23/00,,76,90,58
ES003800510,"SAN SALVADOR ILOPAN, ES",2/24/00,,76,90,58
ES003800510,"SAN SALVADOR ILOPAN, ES",2/25/00,,76,89,60
ES003800510,"SAN SALVADOR ILOPAN, ES",2/26/00,,76,89,62
ES003800510,"SAN SALVADOR ILOPAN, ES",2/27/00,,77,,
ES003800510,"SAN SALVADOR ILOPAN, ES",2/28/00,,78,90,60
ES003800510,"SAN SALVADOR ILOPAN, ES",2/29/00,,76,,
ES003800510,"SAN SALVADOR ILOPAN, ES",3/1/00,,76,90,59
ES003800510,"SAN SALVADOR ILOPAN, ES",3/2/00,,76,,
ES003800510,"SAN SALVADOR ILOPAN, ES",3/3/00,,76,89,59
ES003800510,"SAN SALVADOR ILOPAN, ES",3/4/00,,76,89,61
ES003800510,"SAN SALVADOR ILOPAN, ES",3/5/00,,77,90,61
ES003800510,"SAN SALVADOR ILOPAN, ES",3/6/00,,77,90,64
ES003800510,"SAN SALVADOR ILOPAN, ES",3/7/00,,77,90,64
ES003800510,"SAN SALVADOR ILOPAN, ES",3/8/00,,76,89,64
ES003800510,"SAN SALVADOR ILOPAN, ES",3/9/00,,75,89,66
ES003800510,"SAN SALVADOR ILOPAN, ES",3/10/00,,75,89,66
ES003800510,"SAN SALVADOR ILOPAN, ES",3/11/00,,76,88,61
ES003800510,"SAN SALVADOR ILOPAN, ES",3/12/00,,78,,
ES003800510,"SAN SALVADOR ILOPAN, ES",3/13/00,,78,91,62
ES003800510,"SAN SALVADOR ILOPAN, ES",3/14/00,,79,,
ES003800510,"SAN SALVADOR ILOPAN, ES",3/15/00,,81,,
ES003800510,"SAN SALVADOR ILOPAN, ES",3/16/00,,78,90,64
ES003800510,"SAN SALVADOR ILOPAN, ES",3/17/00,,77,,
ES003800510,"SAN SALVADOR ILOPAN, ES",3/18/00,,78,90,69
ES003800510,"SAN SALVADOR ILOPAN, ES",3/19/00,,80,92,67
ES003800510,"SAN SALVADOR ILOPAN, ES",3/20/00,,79,,
ES003800510,"SAN SALVADOR ILOPAN, ES",3/21/00,,78,90,67
ES003800510,"SAN SALVADOR ILOPAN, ES",3/22/00,,80,91,66
ES003800510,"SAN SALVADOR ILOPAN, ES",3/23/00,,78,,
ES003800510,"SAN SALVADOR ILOPAN, ES",3/24/00,,78,92,65
ES003800510,"SAN SALVADOR ILOPAN, ES",3/25/00,,76,,
ES003800510,"SAN SALVADOR ILOPAN, ES",3/26/00,,76,93,62
ES003800510,"SAN SALVADOR ILOPAN, ES",3/27/00,,75,93,61
ES003800510,"SAN SALVADOR ILOPAN, ES",3/28/00,,77,88,62
ES003800510,"SAN SALVADOR ILOPAN, ES",3/29/00,,76,88,62
ES003800510,"SAN SALVADOR ILOPAN, ES",3/30/00,,77,88,64
