STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
HO000078720,"TEGUCIGALPA, HO",1/1/00,,67,81,49
HO000078720,"TEGUCIGALPA, HO",1/2/00,0,69,,
HO000078720,"TEGUCIGALPA, HO",1/3/00,,67,79,52
HO000078720,"TEGUCIGALPA, HO",1/4/00,,65,,
HO000078720,"TEGUCIGALPA, HO",1/5/00,0,69,80,51
HO000078720,"TEGUCIGALPA, HO",1/6/00,,66,80,47
HO000078720,"TEGUCIGALPA, HO",1/7/00,0,65,79,47
HO000078720,"TEGUCIGALPA, HO",1/8/00,0,68,79,51
HO000078720,"TEGUCIGALPA, HO",1/9/00,,70,,
HO000078720,"TEGUCIGALPA, HO",1/10/00,,68,,
HO000078720,"TEGUCIGALPA, HO",1/11/00,0,69,81,54
HO000078720,"TEGUCIGALPA, HO",1/12/00,0,70,,
HO000078720,"TEGUCIGALPA, HO",1/13/00,0,70,81,62
HO000078720,"TEGUCIGALPA, HO",1/14/00,0,65,80,58
HO000078720,"TEGUCIGALPA, HO",1/15/00,0.08,63,,
HO000078720,"TEGUCIGALPA, HO",1/16/00,0.06,66,76,58
HO000078720,"TEGUCIGALPA, HO",1/17/00,0,65,77,59
HO000078720,"TEGUCIGALPA, HO",1/18/00,0,65,77,57
HO000078720,"TEGUCIGALPA, HO",1/19/00,0,67,77,57
HO000078720,"TEGUCIGALPA, HO",1/20/00,0,64,,
HO000078720,"TEGUCIGALPA, HO",1/21/00,0,68,80,51
HO000078720,"TEGUCIGALPA, HO",1/22/00,0,68,,
HO000078720,"TEGUCIGALPA, HO",1/23/00,0,67,,
HO000078720,"TEGUCIGALPA, HO",1/24/00,0,68,,
HO000078720,"TEGUCIGALPA, HO",1/25/00,0,69,86,51
HO000078720,"TEGUCIGALPA, HO",1/26/00,0,64,79,48
HO000078720,"TEGUCIGALPA, HO",1/27/00,0,62,80,47
HO000078720,"TEGUCIGALPA, HO",1/28/00,0,64,,
HO000078720,"TEGUCIGALPA, HO",1/29/00,0,66,85,44
HO000078720,"TEGUCIGALPA, HO",1/30/00,0,69,82,50
HO000078720,"TEGUCIGALPA, HO",1/31/00,0,70,,
HO000078720,"TEGUCIGALPA, HO",2/1/00,0,67,,
HO000078720,"TEGUCIGALPA, HO",2/2/00,0,64,,
HO000078720,"TEGUCIGALPA, HO",2/3/00,0,68,,
HO000078720,"TEGUCIGALPA, HO",2/4/00,0,71,,
HO000078720,"TEGUCIGALPA, HO",2/5/00,0,69,81,59
HO000078720,"TEGUCIGALPA, HO",2/6/00,0,65,79,59
HO000078720,"TEGUCIGALPA, HO",2/7/00,0,67,79,60
