STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
MXM00076658,"COLIMA, MX",1/1/00,,,77,,
MXM00076658,"COLIMA, MX",1/2/00,,,75,,
MXM00076658,"COLIMA, MX",1/3/00,,,76,,
MXM00076658,"COLIMA, MX",1/4/00,0,,77,90,59
MXM00076658,"COLIMA, MX",1/5/00,0,,77,92,56
MXM00076658,"COLIMA, MX",1/6/00,,,76,,
MXM00076658,"COLIMA, MX",1/7/00,,,77,,
MXM00076658,"COLIMA, MX",1/8/00,0,,75,87,61
MXM00076658,"COLIMA, MX",1/9/00,0,,74,89,61
MXM00076658,"COLIMA, MX",1/10/00,,,76,,
MXM00076658,"COLIMA, MX",1/11/00,0,,77,93,58
MXM00076658,"COLIMA, MX",1/12/00,,,76,93,59
MXM00076658,"COLIMA, MX",1/13/00,,,78,,
MXM00076658,"COLIMA, MX",1/14/00,,,78,,
MXM00076658,"COLIMA, MX",1/15/00,0,,78,96,60
MXM00076658,"COLIMA, MX",1/16/00,,,77,,
MXM00076658,"COLIMA, MX",1/17/00,,,78,87,62
MXM00076658,"COLIMA, MX",1/18/00,0,,76,94,61
MXM00076658,"COLIMA, MX",1/19/00,0,,73,93,59
MXM00076658,"COLIMA, MX",1/20/00,0,,74,86,59
MXM00076658,"COLIMA, MX",1/21/00,0,,76,89,58
MXM00076658,"COLIMA, MX",1/22/00,0,,75,90,59
MXM00076658,"COLIMA, MX",1/23/00,0,,76,92,59
MXM00076658,"COLIMA, MX",1/24/00,,,75,,
MXM00076658,"COLIMA, MX",1/25/00,,,75,84,60
MXM00076658,"COLIMA, MX",1/26/00,0,,74,88,60
MXM00076658,"COLIMA, MX",1/27/00,0,,75,88,57
MXM00076658,"COLIMA, MX",1/28/00,0,,72,87,57
MXM00076658,"COLIMA, MX",1/29/00,0,,74,86,59
MXM00076658,"COLIMA, MX",1/30/00,0,,75,88,59
MXM00076658,"COLIMA, MX",1/31/00,,,75,,
MXM00076658,"COLIMA, MX",2/1/00,0,,76,91,57
MXM00076658,"COLIMA, MX",2/2/00,,,74,,
MXM00076658,"COLIMA, MX",2/3/00,0,,78,91,58
MXM00076658,"COLIMA, MX",2/4/00,,,78,,
MXM00076658,"COLIMA, MX",2/5/00,0,,77,93,55
MXM00076658,"COLIMA, MX",2/6/00,,,77,,
MXM00076658,"COLIMA, MX",2/7/00,,,79,,
MXM00076658,"COLIMA, MX",2/8/00,0,,80,94,62
MXM00076658,"COLIMA, MX",2/9/00,0,,77,98,62
MXM00076658,"COLIMA, MX",2/10/00,0,,79,96,62
MXM00076658,"COLIMA, MX",2/11/00,0,,79,91,61
MXM00076658,"COLIMA, MX",2/12/00,0,,76,88,61
MXM00076658,"COLIMA, MX",2/13/00,0,,75,88,62
MXM00076658,"COLIMA, MX",2/14/00,,,76,,
MXM00076658,"COLIMA, MX",2/15/00,0,,77,,
MXM00076658,"COLIMA, MX",2/16/00,0,,76,90,63
MXM00076658,"COLIMA, MX",2/17/00,0,,78,92,61
MXM00076658,"COLIMA, MX",2/18/00,0,,77,92,61
MXM00076658,"COLIMA, MX",2/19/00,0,,78,92,61
MXM00076658,"COLIMA, MX",2/20/00,0,,80,93,61
MXM00076658,"COLIMA, MX",2/21/00,,,81,,
MXM00076658,"COLIMA, MX",2/22/00,,,81,,
MXM00076658,"COLIMA, MX",2/23/00,0,,80,99,62
MXM00076658,"COLIMA, MX",2/24/00,0,,76,91,64
MXM00076658,"COLIMA, MX",2/25/00,0,,77,89,65
MXM00076658,"COLIMA, MX",2/26/00,0,,76,90,65
MXM00076658,"COLIMA, MX",2/27/00,0,,76,,
MXM00076658,"COLIMA, MX",2/28/00,,,79,,
MXM00076658,"COLIMA, MX",2/29/00,0,,81,94,63
MXM00076658,"COLIMA, MX",3/1/00,0,,78,95,63
MXM00076658,"COLIMA, MX",3/2/00,0,,76,91,63
MXM00076658,"COLIMA, MX",3/3/00,0,,76,86,64
MXM00076658,"COLIMA, MX",3/4/00,,,76,,
MXM00076658,"COLIMA, MX",3/5/00,0,,78,85,66
MXM00076658,"COLIMA, MX",3/6/00,,,76,,
MXM00076658,"COLIMA, MX",3/7/00,0,,77,90,61
MXM00076658,"COLIMA, MX",3/8/00,0,,80,92,61
MXM00076658,"COLIMA, MX",3/9/00,0,,80,92,59
MXM00076658,"COLIMA, MX",3/10/00,0,,80,93,56
