STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
MXM00076903,"TAPACHULA CHIS, MX",3/1/00,0,82,96,71
MXM00076903,"TAPACHULA CHIS, MX",3/2/00,0,81,97,73
MXM00076903,"TAPACHULA CHIS, MX",3/3/00,0,81,94,72
MXM00076903,"TAPACHULA CHIS, MX",3/4/00,0,78,93,69
MXM00076903,"TAPACHULA CHIS, MX",3/5/00,0,82,97,69
MXM00076903,"TAPACHULA CHIS, MX",3/6/00,0,81,95,69
MXM00076903,"TAPACHULA CHIS, MX",3/7/00,0,82,97,71
MXM00076903,"TAPACHULA CHIS, MX",3/8/00,0,83,97,74
MXM00076903,"TAPACHULA CHIS, MX",3/9/00,0,83,94,73
MXM00076903,"TAPACHULA CHIS, MX",3/10/00,0,83,96,73
MXM00076903,"TAPACHULA CHIS, MX",3/11/00,0,84,97,74
MXM00076903,"TAPACHULA CHIS, MX",3/12/00,0.02,82,95,72
MXM00076903,"TAPACHULA CHIS, MX",3/13/00,0,81,96,70
MXM00076903,"TAPACHULA CHIS, MX",3/14/00,0,83,96,70
MXM00076903,"TAPACHULA CHIS, MX",3/15/00,0,82,97,72
MXM00076903,"TAPACHULA CHIS, MX",3/16/00,0,80,98,70
MXM00076903,"TAPACHULA CHIS, MX",3/17/00,0,82,98,70
MXM00076903,"TAPACHULA CHIS, MX",3/18/00,0,82,98,72
MXM00076903,"TAPACHULA CHIS, MX",3/19/00,0,82,98,73
MXM00076903,"TAPACHULA CHIS, MX",3/20/00,0,84,96,73
MXM00076903,"TAPACHULA CHIS, MX",3/21/00,0,80,97,73
MXM00076903,"TAPACHULA CHIS, MX",3/22/00,0,85,99,73
MXM00076903,"TAPACHULA CHIS, MX",3/23/00,0,83,96,74
MXM00076903,"TAPACHULA CHIS, MX",3/24/00,0,84,96,74
MXM00076903,"TAPACHULA CHIS, MX",3/25/00,0,83,99,73
MXM00076903,"TAPACHULA CHIS, MX",3/26/00,,85,97,72
MXM00076903,"TAPACHULA CHIS, MX",3/27/00,0,84,97,72
MXM00076903,"TAPACHULA CHIS, MX",3/28/00,0,81,96,72
MXM00076903,"TAPACHULA CHIS, MX",3/29/00,0,82,97,72
MXM00076903,"TAPACHULA CHIS, MX",3/30/00,0,84,97,73
MXM00076903,"TAPACHULA CHIS, MX",3/31/00,0,81,98,75
MXM00076903,"TAPACHULA CHIS, MX",4/1/00,0,83,99,75
