STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
787300,99999, 20070102,   83.8, 8,   77.9, 8, 9999.9, 0, 9999.9, 0,   4.9, 8,  10.2, 8,  12.0, 999.9,   84.2*,  82.4*,99.99 ,999.9, 010000,
787300,99999, 20070103,   83.5, 8,   76.6, 8, 9999.9, 0, 9999.9, 0,   4.1, 8,  10.8, 8,  12.0, 999.9,   86.0*,  78.8*,99.99 ,999.9, 010000,
787300,99999, 20070104,   83.3, 8,   75.7, 8, 9999.9, 0, 9999.9, 0,   4.4, 8,   8.7, 8,   9.9, 999.9,   86.0*,  77.0*, 0.00I,999.9, 000000,
787300,99999, 20070105,   81.9, 9,   76.2, 9, 9999.9, 0, 9999.9, 0,   4.3, 9,   9.4, 9,  15.5, 999.9,   86.0 ,  76.1 , 0.01A,999.9, 010000,
787300,99999, 20070106,   83.3,10,   76.1,10, 9999.9, 0, 9999.9, 0,   4.6,10,   8.5,10,   9.9, 999.9,   84.2*,  80.6*,99.99 ,999.9, 010000,
787300,99999, 20070107,   83.0, 9,   76.0, 9, 9999.9, 0, 9999.9, 0,   4.8, 9,   8.6, 9,   9.9, 999.9,   84.2*,  78.8*,99.99 ,999.9, 010000,
787300,99999, 20070108,   82.8, 9,   74.8, 9, 9999.9, 0, 9999.9, 0,   4.9, 9,   9.5, 9,  12.0, 999.9,   84.2*,  78.8*,99.99 ,999.9, 010000,
787300,99999, 20070109,   83.9, 7,   73.4, 7, 9999.9, 0, 9999.9, 0,   5.0, 7,  11.4, 7,  12.0, 999.9,   86.0*,  82.4*,99.99 ,999.9, 010000,
787300,99999, 20070110,   83.1, 8,   71.6, 8, 9999.9, 0, 9999.9, 0,   5.0, 8,  10.7, 8,  12.0, 999.9,   84.2*,  82.4*, 0.00I,999.9, 000000,
787300,99999, 20070111,   83.2, 7,   75.7, 7, 9999.9, 0, 9999.9, 0,   4.9, 7,   8.8, 7,   9.9, 999.9,   86.0*,  77.0*,99.99 ,999.9, 010000,
787300,99999, 20070112,   83.8, 5,   74.8, 5, 9999.9, 0, 9999.9, 0,   5.0, 5,  10.8, 5,  12.0, 999.9,   84.2*,  82.4*, 0.00I,999.9, 000000,
787300,99999, 20070113,   82.8, 5,   75.6, 5, 9999.9, 0, 9999.9, 0,   4.6, 5,  10.3, 5,  12.0, 999.9,   84.2*,  82.4*,99.99 ,999.9, 010000,
787300,99999, 20070115,   83.1, 5,   76.3, 5, 9999.9, 0, 9999.9, 0,   4.2, 5,  10.3, 5,  12.0, 999.9,   84.2*,  80.6*,99.99 ,999.9, 010000,
787300,99999, 20070116,   83.1, 5,   74.8, 5, 9999.9, 0, 9999.9, 0,   4.3, 5,  11.6, 5,  14.0, 999.9,   84.2*,  80.6*, 0.00I,999.9, 000000,
