STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
PEM00084658,"PADRE ALDAMIZ, PE",1/1/00,0.51,77,90,72
PEM00084658,"PADRE ALDAMIZ, PE",1/9/00,,78,97,73
PEM00084658,"PADRE ALDAMIZ, PE",1/10/00,,76,,70
PEM00084658,"PADRE ALDAMIZ, PE",2/16/00,,76,88,70
PEM00084658,"PADRE ALDAMIZ, PE",2/20/00,0.04,78,90,72
PEM00084658,"PADRE ALDAMIZ, PE",2/22/00,1.46,76,88,70
PEM00084658,"PADRE ALDAMIZ, PE",2/29/00,,78,91,72
PEM00084658,"PADRE ALDAMIZ, PE",3/1/00,0.63,75,90,70
PEM00084658,"PADRE ALDAMIZ, PE",3/2/00,0.12,77,86,72
PEM00084658,"PADRE ALDAMIZ, PE",3/7/00,3.54,74,91,70
PEM00084658,"PADRE ALDAMIZ, PE",3/9/00,0.87,74,90,70
PEM00084658,"PADRE ALDAMIZ, PE",3/15/00,0.12,74,91,72
PEM00084658,"PADRE ALDAMIZ, PE",3/16/00,2.28,76,,70
PEM00084658,"PADRE ALDAMIZ, PE",3/19/00,2.2,75,90,71
PEM00084658,"PADRE ALDAMIZ, PE",3/28/00,,80,91,72
PEM00084658,"PADRE ALDAMIZ, PE",4/9/00,,81,93,72
PEM00084658,"PADRE ALDAMIZ, PE",4/10/00,,79,90,70
PEM00084658,"PADRE ALDAMIZ, PE",4/13/00,,81,,68
PEM00084658,"PADRE ALDAMIZ, PE",4/14/00,,83,93,72
PEM00084658,"PADRE ALDAMIZ, PE",4/15/00,,80,91,73
PEM00084658,"PADRE ALDAMIZ, PE",4/16/00,,83,,72
PEM00084658,"PADRE ALDAMIZ, PE",4/17/00,0.55,83,93,72
PEM00084658,"PADRE ALDAMIZ, PE",4/18/00,0,81,91,70
PEM00084658,"PADRE ALDAMIZ, PE",4/19/00,0.75,71,90,63
PEM00084658,"PADRE ALDAMIZ, PE",4/20/00,0.08,73,,61
PEM00084658,"PADRE ALDAMIZ, PE",4/21/00,0,81,,63
PEM00084658,"PADRE ALDAMIZ, PE",4/22/00,,81,88,
PEM00084658,"PADRE ALDAMIZ, PE",4/23/00,,82,90,68
PEM00084658,"PADRE ALDAMIZ, PE",4/24/00,,84,90,
PEM00084658,"PADRE ALDAMIZ, PE",4/25/00,,83,91,70
PEM00084658,"PADRE ALDAMIZ, PE",4/26/00,,82,91,72
PEM00084658,"PADRE ALDAMIZ, PE",4/27/00,,78,91,72
PEM00084658,"PADRE ALDAMIZ, PE",4/28/00,0.12,79,90,72
PEM00084658,"PADRE ALDAMIZ, PE",4/29/00,0.63,74,93,
PEM00084658,"PADRE ALDAMIZ, PE",4/30/00,0,80,,
PEM00084658,"PADRE ALDAMIZ, PE",5/1/00,,81,88,72
PEM00084658,"PADRE ALDAMIZ, PE",5/2/00,0.59,81,,72
PEM00084658,"PADRE ALDAMIZ, PE",5/3/00,0,77,88,70
PEM00084658,"PADRE ALDAMIZ, PE",5/4/00,0.79,78,88,
PEM00084658,"PADRE ALDAMIZ, PE",5/5/00,0.31,81,88,72
PEM00084658,"PADRE ALDAMIZ, PE",5/6/00,0.12,73,91,
PEM00084658,"PADRE ALDAMIZ, PE",5/9/00,,76,,68
PEM00084658,"PADRE ALDAMIZ, PE",5/10/00,,74,,64
PEM00084658,"PADRE ALDAMIZ, PE",5/11/00,,75,88,66
PEM00084658,"PADRE ALDAMIZ, PE",5/12/00,,79,,64
PEM00084658,"PADRE ALDAMIZ, PE",5/13/00,,80,90,66
PEM00084658,"PADRE ALDAMIZ, PE",5/14/00,,78,91,72
PEM00084658,"PADRE ALDAMIZ, PE",5/17/00,1.22,72,90,68
PEM00084658,"PADRE ALDAMIZ, PE",5/19/00,,70,79,63
PEM00084658,"PADRE ALDAMIZ, PE",5/20/00,,71,,63
PEM00084658,"PADRE ALDAMIZ, PE",5/21/00,,72,,64
PEM00084658,"PADRE ALDAMIZ, PE",5/24/00,,78,91,63
PEM00084658,"PADRE ALDAMIZ, PE",5/25/00,,80,90,64
PEM00084658,"PADRE ALDAMIZ, PE",5/26/00,,77,90,66
PEM00084658,"PADRE ALDAMIZ, PE",5/27/00,,81,91,66
PEM00084658,"PADRE ALDAMIZ, PE",5/28/00,,78,91,68
PEM00084658,"PADRE ALDAMIZ, PE",5/29/00,,79,,70
PEM00084658,"PADRE ALDAMIZ, PE",5/31/00,,78,90,72
PEM00084658,"PADRE ALDAMIZ, PE",6/1/00,,74,86,68
PEM00084658,"PADRE ALDAMIZ, PE",6/2/00,,67,82,64
PEM00084658,"PADRE ALDAMIZ, PE",6/3/00,,68,,64
PEM00084658,"PADRE ALDAMIZ, PE",6/6/00,,80,92,70
PEM00084658,"PADRE ALDAMIZ, PE",6/7/00,,76,88,72
PEM00084658,"PADRE ALDAMIZ, PE",6/8/00,,76,83,70
PEM00084658,"PADRE ALDAMIZ, PE",6/9/00,0.39,75,84,68
PEM00084658,"PADRE ALDAMIZ, PE",6/10/00,0,76,86,66
PEM00084658,"PADRE ALDAMIZ, PE",6/11/00,,79,90,66
PEM00084658,"PADRE ALDAMIZ, PE",6/14/00,,81,91,70
PEM00084658,"PADRE ALDAMIZ, PE",6/15/00,,79,90,72
PEM00084658,"PADRE ALDAMIZ, PE",6/16/00,0.87,74,88,69
PEM00084658,"PADRE ALDAMIZ, PE",6/17/00,0.24,73,78,66
PEM00084658,"PADRE ALDAMIZ, PE",6/18/00,0,64,,
PEM00084658,"PADRE ALDAMIZ, PE",6/19/00,0.2,62,70,59
PEM00084658,"PADRE ALDAMIZ, PE",6/20/00,0.04,60,69,57
PEM00084658,"PADRE ALDAMIZ, PE",6/22/00,,65,,58
PEM00084658,"PADRE ALDAMIZ, PE",6/23/00,,67,,58
PEM00084658,"PADRE ALDAMIZ, PE",6/24/00,,78,87,63
PEM00084658,"PADRE ALDAMIZ, PE",6/26/00,,80,90,64
PEM00084658,"PADRE ALDAMIZ, PE",6/27/00,,79,90,
PEM00084658,"PADRE ALDAMIZ, PE",6/29/00,0.02,82,90,66
PEM00084658,"PADRE ALDAMIZ, PE",6/30/00,0,82,91,68
PEM00084658,"PADRE ALDAMIZ, PE",7/1/00,,84,91,
PEM00084658,"PADRE ALDAMIZ, PE",7/2/00,,81,91,67
PEM00084658,"PADRE ALDAMIZ, PE",7/3/00,,77,92,70
PEM00084658,"PADRE ALDAMIZ, PE",7/4/00,0.08,68,90,63
PEM00084658,"PADRE ALDAMIZ, PE",7/5/00,0,71,,
PEM00084658,"PADRE ALDAMIZ, PE",7/7/00,,79,90,64
PEM00084658,"PADRE ALDAMIZ, PE",7/8/00,,80,90,68
PEM00084658,"PADRE ALDAMIZ, PE",7/10/00,,80,91,70
PEM00084658,"PADRE ALDAMIZ, PE",7/12/00,0.16,53,79,47
PEM00084658,"PADRE ALDAMIZ, PE",7/13/00,0.12,56,,50
PEM00084658,"PADRE ALDAMIZ, PE",7/14/00,0,65,,
PEM00084658,"PADRE ALDAMIZ, PE",7/15/00,,68,,52
PEM00084658,"PADRE ALDAMIZ, PE",7/16/00,,67,,64
PEM00084658,"PADRE ALDAMIZ, PE",7/19/00,,75,,64
PEM00084658,"PADRE ALDAMIZ, PE",7/22/00,,81,,64
PEM00084658,"PADRE ALDAMIZ, PE",7/23/00,,64,,
PEM00084658,"PADRE ALDAMIZ, PE",7/24/00,0.08,62,,51
PEM00084658,"PADRE ALDAMIZ, PE",7/27/00,,74,,50
PEM00084658,"PADRE ALDAMIZ, PE",7/28/00,,77,,54
PEM00084658,"PADRE ALDAMIZ, PE",7/30/00,,80,,59
PEM00084658,"PADRE ALDAMIZ, PE",8/1/00,,78,,68
PEM00084658,"PADRE ALDAMIZ, PE",8/2/00,,78,,68
PEM00084658,"PADRE ALDAMIZ, PE",8/5/00,,78,,63
PEM00084658,"PADRE ALDAMIZ, PE",8/7/00,,80,,68
PEM00084658,"PADRE ALDAMIZ, PE",8/12/00,,67,,57
PEM00084658,"PADRE ALDAMIZ, PE",8/13/00,,71,,58
PEM00084658,"PADRE ALDAMIZ, PE",8/20/00,,84,,68
PEM00084658,"PADRE ALDAMIZ, PE",8/25/00,0.08,85,,71
PEM00084658,"PADRE ALDAMIZ, PE",8/27/00,,87,,72
PEM00084658,"PADRE ALDAMIZ, PE",8/30/00,,82,,74
PEM00084658,"PADRE ALDAMIZ, PE",9/1/00,,87,,68
PEM00084658,"PADRE ALDAMIZ, PE",9/2/00,,80,,73
PEM00084658,"PADRE ALDAMIZ, PE",9/5/00,,77,,59
PEM00084658,"PADRE ALDAMIZ, PE",9/6/00,,82,,68
PEM00084658,"PADRE ALDAMIZ, PE",9/9/00,,83,,72
PEM00084658,"PADRE ALDAMIZ, PE",9/10/00,0.2,85,,72
PEM00084658,"PADRE ALDAMIZ, PE",9/13/00,,86,,72
PEM00084658,"PADRE ALDAMIZ, PE",9/14/00,,89,,73
PEM00084658,"PADRE ALDAMIZ, PE",9/17/00,,78,,61
PEM00084658,"PADRE ALDAMIZ, PE",9/18/00,,85,,70
PEM00084658,"PADRE ALDAMIZ, PE",9/22/00,0.79,77,,70
PEM00084658,"PADRE ALDAMIZ, PE",9/23/00,0.16,78,,70
PEM00084658,"PADRE ALDAMIZ, PE",9/25/00,1.77,72,,64
PEM00084658,"PADRE ALDAMIZ, PE",9/28/00,,83,,59
PEM00084658,"PADRE ALDAMIZ, PE",9/29/00,,84,,63
PEM00084658,"PADRE ALDAMIZ, PE",9/30/00,,87,,70
PEM00084658,"PADRE ALDAMIZ, PE",10/1/00,,86,,70
PEM00084658,"PADRE ALDAMIZ, PE",10/3/00,,87,,70
PEM00084658,"PADRE ALDAMIZ, PE",10/4/00,,83,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/5/00,0.39,87,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/6/00,1.34,67,,63
PEM00084658,"PADRE ALDAMIZ, PE",10/8/00,,87,,68
PEM00084658,"PADRE ALDAMIZ, PE",10/9/00,,87,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/10/00,,83,,73
PEM00084658,"PADRE ALDAMIZ, PE",10/11/00,,87,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/12/00,,89,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/13/00,,87,,75
PEM00084658,"PADRE ALDAMIZ, PE",10/14/00,,85,,70
PEM00084658,"PADRE ALDAMIZ, PE",10/15/00,,81,,68
PEM00084658,"PADRE ALDAMIZ, PE",10/16/00,,87,,70
PEM00084658,"PADRE ALDAMIZ, PE",10/17/00,,88,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/21/00,,78,,
PEM00084658,"PADRE ALDAMIZ, PE",10/22/00,,87,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/23/00,,87,,73
PEM00084658,"PADRE ALDAMIZ, PE",10/25/00,3.19,76,,70
PEM00084658,"PADRE ALDAMIZ, PE",10/26/00,0.39,83,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/27/00,0,83,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/28/00,,78,,73
PEM00084658,"PADRE ALDAMIZ, PE",10/29/00,,78,,
PEM00084658,"PADRE ALDAMIZ, PE",10/30/00,,86,,72
PEM00084658,"PADRE ALDAMIZ, PE",10/31/00,,88,,72
PEM00084658,"PADRE ALDAMIZ, PE",11/7/00,0.24,76,,70
PEM00084658,"PADRE ALDAMIZ, PE",11/9/00,,82,,75
PEM00084658,"PADRE ALDAMIZ, PE",11/11/00,0.2,80,,72
PEM00084658,"PADRE ALDAMIZ, PE",11/16/00,2.36,73,,63
PEM00084658,"PADRE ALDAMIZ, PE",11/17/00,0,78,,66
PEM00084658,"PADRE ALDAMIZ, PE",11/20/00,,89,,73
PEM00084658,"PADRE ALDAMIZ, PE",11/24/00,,87,,72
PEM00084658,"PADRE ALDAMIZ, PE",11/27/00,0.55,78,,72
PEM00084658,"PADRE ALDAMIZ, PE",12/2/00,,80,,72
PEM00084658,"PADRE ALDAMIZ, PE",12/4/00,,83,,73
PEM00084658,"PADRE ALDAMIZ, PE",12/5/00,0.16,81,,73
PEM00084658,"PADRE ALDAMIZ, PE",12/7/00,0.04,83,,68
PEM00084658,"PADRE ALDAMIZ, PE",12/8/00,0,86,,72
PEM00084658,"PADRE ALDAMIZ, PE",12/10/00,,84,,73
PEM00084658,"PADRE ALDAMIZ, PE",12/16/00,,76,,
PEM00084658,"PADRE ALDAMIZ, PE",12/17/00,0.94,77,,66
PEM00084658,"PADRE ALDAMIZ, PE",12/19/00,,87,,70
PEM00084658,"PADRE ALDAMIZ, PE",12/20/00,,89,,72
PEM00084658,"PADRE ALDAMIZ, PE",12/22/00,1.5,78,,72
PEM00084658,"PADRE ALDAMIZ, PE",12/23/00,2.09,85,,72
PEM00084658,"PADRE ALDAMIZ, PE",12/27/00,0.47,76,,72
PEM00084658,"PADRE ALDAMIZ, PE",12/30/00,0.59,83,,72
PEM00084658,"PADRE ALDAMIZ, PE",12/31/00,0,77,,73
PEM00084658,"PADRE ALDAMIZ, PE",1/1/01,0.63,81,,70
PEM00084658,"PADRE ALDAMIZ, PE",1/2/01,0.12,83,,73
PEM00084658,"PADRE ALDAMIZ, PE",1/3/01,0,86,,72
PEM00084658,"PADRE ALDAMIZ, PE",1/4/01,,78,,
PEM00084658,"PADRE ALDAMIZ, PE",1/8/01,,81,,73
PEM00084658,"PADRE ALDAMIZ, PE",1/9/01,,79,,72
PEM00084658,"PADRE ALDAMIZ, PE",1/10/01,0.59,76,,72
PEM00084658,"PADRE ALDAMIZ, PE",1/11/01,0.47,78,,70
PEM00084658,"PADRE ALDAMIZ, PE",1/12/01,0.24,76,,70
PEM00084658,"PADRE ALDAMIZ, PE",1/15/01,0.63,79,,70
PEM00084658,"PADRE ALDAMIZ, PE",1/21/01,0.51,79,,68
PEM00084658,"PADRE ALDAMIZ, PE",1/22/01,0.08,76,,72
PEM00084658,"PADRE ALDAMIZ, PE",1/24/01,1.42,82,,72
PEM00084658,"PADRE ALDAMIZ, PE",1/25/01,0,83,,72
PEM00084658,"PADRE ALDAMIZ, PE",1/27/01,2.2,74,,68
PEM00084658,"PADRE ALDAMIZ, PE",1/28/01,1.73,77,,72
