,Unnamed: 0,Unnamed: 0.1,year,month,day,level_3,Date,Price,Price_Change,Direction,Rate_of_Change,Clean_Text
0,0,0,2007,1,2,Title,2007-01-02,1.1506,0.0,0,0.0,india earns more higher coffee exports
1,1,1,2007,1,3,Title,2007-01-03,1.176,0.025399999999999867,0,0.02207543890144261,friesland raises stake indonesian subsidiary milk product prices europe us milk product prices jan starbucks reveals trans fat removal plan indonesian coffee shipments stable after floods
2,2,2,2007,1,4,Title,2007-01-04,1.1451,-0.030899999999999924,0,-0.026275510204081573,nymex announces start date soft commodity futures contracts nybot mourns loss president chief executive harry falk
3,3,3,2007,1,5,Title,2007-01-05,1.1506,0.00550000000000006,0,0.00480307396733915,india largest coffee chain extends pakistan
4,4,4,2007,1,7,Title,2007-01-07,1.1506,-0.0,0,0.0,honduran coffee sales ugandan coffee funds soyabean market wrong foots many traders weather costa rican coffee indian coffee board highlights rise exports colombia overcomes worst its coffee crisis
5,5,5,2007,1,9,Title,2007-01-09,1.129,-0.021600000000000064,0,-0.018772814183904103,mcdonald coffee be certified sustainable
6,6,6,2007,1,10,Title,2007-01-10,1.1166,-0.012399999999999968,0,-0.010983170947741334,milk product prices europe us milk product prices january peru beats coffee export estimates
7,7,7,2007,1,14,Title,2007-01-14,1.1166,-0.0,0,0.0,fall crude sees sugar hit three month low mcdonald coffee plan euronext liffe options come fore new orleans port still recovering after katrina indonesia struggles rain peruvian coffee sales hit record poor weather holds back nicaraguan exports entry asian producers shapes pepper market
8,8,8,2007,1,15,Title,2007-01-15,1.1166,-0.0,0,0.0,coke invests australian operation
9,9,9,2007,1,16,Title,2007-01-16,1.1364,0.01980000000000004,0,0.01773240193444388,world coffee production fall below demand ico says
10,10,10,2007,1,17,Title,2007-01-17,1.1407,0.0042999999999999705,0,0.0037838789158746657,milk product prices europe us milk product prices january
11,11,11,2007,1,18,Title,2007-01-18,1.1402,-0.0004999999999999449,0,-0.0004383273428595993,australian investment nestle scrutinise its indonesian coffee purchases ivory coast battles cancer causing toxin its cocoa
12,12,12,2007,1,19,Title,2007-01-19,1.1349,-0.005300000000000082,0,-0.0046483073145062994,starbucks denies wwf allegations over coffee purchases
13,13,13,2007,1,21,Title,2007-01-21,1.1349,-0.0,0,0.0,weather fight acreage sends soyabeans higher high prices help ivory coast revitalise industry india takes advantage brazil coffee woes nestle coffee pledge global trade convinced price coffee will remain firm new firms vie brazil coffee sales
14,14,14,2007,1,23,Title,2007-01-23,1.176,0.04109999999999992,0,0.03621464446206707,officials ethiopia starbucks meet geneva uganda sees coffee export boom last month louis dreyfus approves major investments brazil agri sector
15,15,15,2007,1,24,Title,2007-01-24,1.1051,-0.07089999999999996,0,-0.060289115646258475,milk product prices europe us monsanto concedes sales bst could be diminished milk product prices january
