date, value
6/2/69,0.3725
6/3/69,0.3725
6/4/69,0.3725
6/5/69,0.3725
6/6/69,0.3725
6/9/69,0.3725
6/10/69,0.3725
6/11/69,0.3725
6/12/69,0.3725
6/13/69,0.3725
6/16/69,0.3725
6/17/69,0.3725
6/18/69,0.3725
6/19/69,0.3725
6/20/69,0.3725
6/23/69,0.3725
6/24/69,0.3725
6/25/69,0.3725
6/26/69,0.3725
6/27/69,0.3725
6/30/69,0.3725
7/1/69,0.3725
7/2/69,0.3725
7/3/69,0.3725
7/7/69,0.3725
7/8/69,0.3725
7/9/69,0.37
7/10/69,0.37
7/11/69,0.37
7/14/69,0.37
7/15/69,0.37
7/16/69,0.37
7/17/69,0.37
7/18/69,0.37
7/22/69,0.37
7/23/69,0.3725
7/24/69,0.3725
7/25/69,0.3725
7/28/69,0.3725
7/29/69,0.3725
7/30/69,0.3725
7/31/69,0.3725
8/1/69,0.3725
8/4/69,0.375
8/5/69,0.375
8/6/69,0.375
8/7/69,0.3775
8/8/69,0.3775
8/11/69,0.3775
8/12/69,0.3775
8/13/69,0.3775
8/14/69,0.3775
8/15/69,0.3775
8/18/69,0.3775
8/19/69,0.38
8/20/69,0.38
8/21/69,0.38
8/22/69,0.38
8/25/69,0.38
8/26/69,0.39
8/27/69,0.39
8/28/69,0.39
8/29/69,0.39
9/2/69,0.395
9/3/69,0.395
9/4/69,0.4
9/5/69,0.4025
9/8/69,0.4025
9/9/69,0.4025
9/10/69,0.41
9/11/69,0.41
9/12/69,0.41
9/15/69,0.415
9/16/69,0.43
9/17/69,0.43
9/18/69,0.43
9/19/69,0.43
9/22/69,0.43
9/23/69,0.435
9/24/69,0.435
9/25/69,0.435
9/26/69,0.435
9/29/69,0.44
9/30/69,0.44
10/1/69,0.44
10/2/69,0.44
10/3/69,0.44
10/6/69,0.44
10/7/69,0.44
10/8/69,0.44
10/9/69,0.44
10/10/69,0.445
10/13/69,0.445
10/14/69,0.445
10/15/69,0.455
10/16/69,0.455
10/17/69,0.4625
10/20/69,0.4625
10/21/69,0.475
10/22/69,0.4775
10/23/69,0.48
10/24/69,0.48
10/27/69,0.485
10/28/69,0.485
10/29/69,0.485
10/30/69,0.485
10/31/69,0.485
11/3/69,0.485
11/4/69,0.485
11/5/69,0.485
11/6/69,0.485
11/7/69,0.485
11/10/69,0.485
11/11/69,0.485
11/12/69,0.485
11/13/69,0.485
11/14/69,0.4837
11/17/69,0.4825
11/18/69,0.4825
11/19/69,0.4825
11/20/69,0.4825
11/21/69,0.4825
11/24/69,0.4825
11/25/69,0.48
11/26/69,0.48
11/28/69,0.4712
12/1/69,0.48
12/2/69,0.48
12/3/69,0.48
12/4/69,0.475
12/5/69,0.47
12/8/69,0.47
12/9/69,0.47
12/10/69,0.47
12/11/69,0.475
12/12/69,0.475
12/15/69,0.475
12/16/69,0.475
12/17/69,0.475
12/18/69,0.475
12/19/69,0.475
