Date,Price
1/2/07,1.1506
1/3/07,1.176
1/4/07,1.1451
1/5/07,1.1506
1/8/07,1.1376
1/9/07,1.129
1/10/07,1.1166
1/11/07,1.1234
1/12/07,1.1343
1/16/07,1.1364
1/17/07,1.1407
1/18/07,1.1402
1/19/07,1.1349
1/22/07,1.1312
1/23/07,1.176
1/24/07,1.1051
1/25/07,1.1056
1/26/07,1.1069
1/29/07,1.0984
1/30/07,1.1004
1/31/07,1.0986
2/1/07,1.1116
2/2/07,1.1178
2/5/07,1.1169
2/6/07,1.1006
2/7/07,1.0953
2/8/07,1.0953
2/9/07,1.099
2/12/07,1.0895
2/13/07,1.0862
2/14/07,1.0812
2/15/07,1.0877
2/16/07,1.0966
2/20/07,1.0838
2/21/07,1.0814
2/22/07,1.0866
2/23/07,1.1188
2/26/07,1.1322
2/27/07,1.1256
2/28/07,1.1145
3/1/07,1.1118
3/2/07,1.0926
3/5/07,1.0803
3/6/07,1.0561
3/7/07,1.054
3/8/07,1.0487
3/9/07,1.0508
3/12/07,1.0487
3/13/07,1.0412
3/14/07,1.0412
3/15/07,1.0267
3/16/07,1.0285
3/19/07,1.0288
3/20/07,1.0311
3/21/07,1.0255
3/22/07,1.0487
3/23/07,1.0443
3/26/07,1.0647
3/27/07,1.0714
3/28/07,1.0638
3/29/07,1.059
3/30/07,1.0452
4/2/07,1.0275
4/3/07,1.0282
4/4/07,1.0368
4/5/07,1.0412
4/9/07,1.0412
4/10/07,1.0299
4/11/07,1.034
4/12/07,1.0292
4/13/07,1.0536
4/16/07,1.061
4/17/07,1.0257
4/18/07,1.0333
4/19/07,1.0324
4/20/07,1.0293
4/23/07,1.0182
4/24/07,1.0126
4/25/07,0.9945
4/26/07,0.9863
4/27/07,0.9806
4/30/07,0.9883
5/1/07,0.9868
5/2/07,0.9868
5/3/07,0.9833
5/4/07,0.9943
5/7/07,0.9859
5/8/07,0.9926
5/9/07,0.9921
5/10/07,1.0033
5/11/07,1.0038
5/14/07,0.9984
5/15/07,1.0051
5/16/07,1.0068
5/17/07,1.0227
5/18/07,1.0227
5/21/07,1.0372
5/22/07,1.0344
5/23/07,1.0331
5/24/07,1.0326
5/25/07,1.0453
5/29/07,1.0453
5/30/07,1.0261
5/31/07,1.0325
6/1/07,1.0268
6/4/07,1.0712
6/5/07,1.083
6/6/07,1.0837
6/7/07,1.0799
6/8/07,1.0842
6/11/07,1.0735
6/12/07,1.0791
6/13/07,1.065
6/14/07,1.0643
6/15/07,1.0743
6/18/07,1.0752
6/19/07,1.08
6/20/07,1.0703
6/21/07,1.0837
6/22/07,1.09
6/25/07,1.0781
6/26/07,1.06
6/27/07,1.0595
6/28/07,1.0582
6/29/07,1.0612
7/2/07,1.0657
7/3/07,1.0602
7/5/07,1.0543
7/6/07,1.0512
7/9/07,1.0403
7/10/07,1.037
7/11/07,1.0451
7/12/07,1.0546
7/13/07,1.0527
7/16/07,1.0417
7/17/07,1.0512
7/18/07,1.0618
7/19/07,1.0735
7/20/07,1.0787
7/23/07,1.0782
7/24/07,1.0678
7/25/07,1.0815
7/26/07,1.0903
7/27/07,1.0734
7/30/07,1.0726
7/31/07,1.0713
8/1/07,1.0829
8/2/07,1.0773
8/3/07,1.0954
8/6/07,1.1138
8/7/07,1.1184
8/8/07,1.1155
8/9/07,1.1197
8/10/07,1.1297
8/13/07,1.134
8/14/07,1.1523
8/15/07,1.1449
8/16/07,1.1413
8/17/07,1.0963
8/20/07,1.1095
8/21/07,1.1113
8/22/07,1.1148
8/23/07,1.1213
8/24/07,1.1305
8/27/07,1.1305
8/28/07,1.1168
8/29/07,1.1155
8/30/07,1.1074
8/31/07,1.1035
9/4/07,1.1014
9/5/07,1.1225
9/6/07,1.1065
9/7/07,1.1047
9/10/07,1.1125
9/11/07,1.132
9/12/07,1.1327
9/13/07,1.137
9/14/07,1.137
9/17/07,1.139
9/18/07,1.1933
9/19/07,1.2206
9/20/07,1.2273
9/21/07,1.2379
9/24/07,1.2225
9/25/07,1.2369
9/26/07,1.2418
9/27/07,1.2101
9/28/07,1.2143
10/1/07,1.2073
10/2/07,1.2568
10/3/07,1.2524
10/4/07,1.2674
10/5/07,1.2603
10/8/07,1.2689
10/9/07,1.2856
10/10/07,1.2605
10/11/07,1.2604
10/12/07,1.2874
10/15/07,1.3006
10/16/07,1.2285
10/17/07,1.2152
10/18/07,1.2195
10/19/07,1.1833
10/22/07,1.1847
10/23/07,1.1825
10/24/07,1.1775
10/25/07,1.1755
10/26/07,1.1588
10/29/07,1.1613
10/30/07,1.166
10/31/07,1.1684
11/1/07,1.1651
11/2/07,1.1898
11/5/07,1.1536
11/6/07,1.1689
11/7/07,1.1763
11/8/07,1.1825
11/9/07,1.1865
11/12/07,1.1876
11/13/07,1.187
11/14/07,1.2027
11/15/07,1.2079
11/16/07,1.2092
11/19/07,1.2178
11/20/07,1.1897
11/21/07,1.2055
11/23/07,1.2021
11/26/07,1.2156
11/27/07,1.2033
11/28/07,1.1984
11/29/07,1.229
11/30/07,1.2279
12/3/07,1.2347
12/4/07,1.2365
12/5/07,1.2395
12/6/07,1.2417
12/7/07,1.2347
12/10/07,1.2347
12/11/07,1.2591
12/12/07,1.266
12/13/07,1.2766
12/14/07,1.2709
12/17/07,1.2686
12/18/07,1.2732
12/19/07,1.2757
12/20/07,1.278
12/21/07,1.2728
12/24/07,1.2728
12/26/07,1.2728
12/27/07,1.2728
12/28/07,1.2728
12/31/07,1.2728
1/2/08,1.2728
1/3/08,1.2578
1/4/08,1.2782
1/7/08,1.2563
1/8/08,1.2471
1/9/08,1.2773
1/10/08,1.2901
1/11/08,1.2938
1/14/08,1.2944
1/15/08,1.3007
1/16/08,1.3168
1/17/08,1.2986
1/18/08,1.2865
1/22/08,1.2712
1/23/08,1.2731
1/24/08,1.2662
1/25/08,1.2671
1/28/08,1.2585
1/29/08,1.2736
1/30/08,1.278
1/31/08,1.2942
2/1/08,1.2471
2/4/08,1.3245
2/5/08,1.3517
2/6/08,1.3587
2/7/08,1.3616
2/8/08,1.363
2/11/08,1.3812
2/12/08,1.3992
2/13/08,1.4016
2/14/08,1.4114
2/15/08,1.439
2/19/08,1.4097
2/20/08,1.4649
2/21/08,1.4622
2/22/08,1.4732
2/25/08,1.5011
2/26/08,1.5248
2/27/08,1.5037
2/28/08,1.5269
2/29/08,1.5436
3/3/08,1.5245
3/4/08,1.5534
3/5/08,1.545
