,Unnamed: 0,year,month,day,level_3,Title,Date,Price,Price_Change,Direction,Rate_of_Change
0,0,2007,1,2,Title,India earns more from higher coffee exports in 2006 ,1/2/07,1.1506,0.0,0,0.0
1,1,2007,1,3,Title,"Friesland raises stake in Indonesian subsidiary MILK PRODUCT PRICES IN EUROPE AND THE US Milk product prices, Jan 3 Starbucks reveals trans fat removal plan Indonesian coffee shipments stable after floods ",1/3/07,1.176,0.025399999999999867,0,0.022075438901442607
2,2,2007,1,4,Title,Nymex announces start date for soft commodity futures contracts Nybot mourns loss of president and chief executive Harry Falk ,1/4/07,1.1451,-0.030899999999999928,0,-0.026275510204081573
3,3,2007,1,5,Title,India's largest coffee chain extends to Pakistan ,1/5/07,1.1506,0.00550000000000006,0,0.0048030739673391495
4,4,2007,1,7,Title,Honduran coffee sales Ugandan coffee funds Soyabean market wrong foots many traders Weather Costa Rican coffee Indian Coffee Board highlights rise in exports Colombia overcomes worst of its coffee crisis ,1/7/07,1.1506,-0.0,0,0.0
5,5,2007,1,9,Title,McDonald's coffee to be certified as sustainable ,1/9/07,1.129,-0.021600000000000064,0,-0.018772814183904103
6,6,2007,1,10,Title,"MILK PRODUCT PRICES IN EUROPE AND THE US Milk product prices, January 10 Peru beats coffee export estimates ",1/10/07,1.1166,-0.012399999999999967,0,-0.010983170947741334
7,7,2007,1,14,Title,Fall in crude sees sugar hit three-month low McDonald's coffee plan Euronext.liffe's options come to the fore New Orleans port still recovering after Katrina Indonesia struggles with rain Peruvian coffee sales hit record Poor weather holds back Nicaraguan exports Entry of Asian producers shapes pepper market ,1/14/07,1.1166,-0.0,0,0.0
8,8,2007,1,15,Title,Coke invests in Australian operation ,1/15/07,1.1166,-0.0,0,0.0
9,9,2007,1,16,Title,"World coffee production to fall below demand in 2007/08, ICO says ",1/16/07,1.1364,0.01980000000000004,0,0.01773240193444388
10,10,2007,1,17,Title,"MILK PRODUCT PRICES IN EUROPE AND THE US Milk Product Prices, January 17 ",1/17/07,1.1407,0.0042999999999999705,0,0.0037838789158746657
11,11,2007,1,18,Title,Australian investment Nestle to scrutinise its Indonesian coffee purchases Ivory Coast battles cancer-causing toxin in its cocoa ,1/18/07,1.1402,-0.0004999999999999449,0,-0.0004383273428595993
12,12,2007,1,19,Title,Starbucks denies WWF allegations over coffee purchases ,1/19/07,1.1349,-0.005300000000000082,0,-0.004648307314506299
13,13,2007,1,21,Title,weather Fight for acreage sends soyabeans higher High prices help Ivory Coast revitalise industry India takes advantage of Brazil's coffee woes Nestle coffee pledge Global trade convinced price of coffee will remain firm in 2007 New firms vie for Brazil's coffee sales ,1/21/07,1.1349,-0.0,0,0.0
14,14,2007,1,23,Title,Officials from Ethiopia and Starbucks meet in Geneva Uganda sees coffee export boom in last month of 2006 Louis Dreyfus approves major investments in Brazil's agri sector ,1/23/07,1.176,0.041099999999999914,0,0.03621464446206707
15,15,2007,1,24,Title,"MILK PRODUCT PRICES IN EUROPE AND THE US Monsanto concedes sales of BST could be diminished Milk product prices, January 24 ",1/24/07,1.1051,-0.07089999999999996,0,-0.060289115646258475
16,16,2007,1,28,Title,Louis Dreyfus in Brazil push Selling by elevator firms eases canola futures Cuban coffee rebound Ivory Coast farmers enjoy high prices for beans Caterpillar invasion ravages Cameroon's cocoa Vietnamese farmers hoard coffee Brazil hangs on to coffee stocks Costa Ricans lament severe fungus outbreak ,1/28/07,1.1051,-0.0,0,0.0
17,17,2007,1,29,Title,Indian coffee exports set to rise by over 15% from last year ,1/29/07,1.0984,-0.006699999999999928,0,-0.006062799746629199
18,18,2007,2,1,Title,trading briefs Taking advantage of amazing demand weather Speculative buying takes coffee off its lows India projects rising coffee exports for 2007 Vietnam's exporters make good start to year Brazil gears up for smaller coffee exports ,2/1/07,1.1116,0.013199999999999878,0,0.012017479970866603
19,19,2007,2,2,Title,Guatemala reports slump in coffee exports European stockpiles of robusta coffee fall 7% in two weeks ,2/2/07,1.1178,0.006199999999999983,0,0.005577545879812868
20,20,2007,2,5,Title,Nestle pledges to help improve Vietnam's coffee sector Indian coffee exports may fall 13% from last year ,2/5/07,1.1169,-0.0008999999999999009,0,-0.000805152979065934
21,21,2007,2,6,Title,Cameroon uses insecticides to fight caterpillar invasion Climate change may cause big fall in Brazil's crop output ,2/6/07,1.1006,-0.01629999999999998,0,-0.014593965440057284
22,22,2007,2,7,Title,"Milk product prices, February 7 Green Mountain Coffee Roasters to help promote Ethiopian produce ",2/7/07,1.0953,-0.005300000000000082,0,-0.004815555151735492
23,23,2007,2,9,Title,Kenya Airways begins using Utz Kapeh-cerified coffee Indonesian coffee exporters struggle to acquire good beans ,2/9/07,1.099,0.0037000000000000366,0,0.0033780699351776103
24,24,2007,2,11,Title,Dryness puts cocoa near seven-month highs Vietnam's ag exports Downpours in Brazil Vicofa will study world's top coffee exchanges MCX revives efforts to list Indian tea futures Green Mountain move Central America sure to retain coffee premiums Ivorian cocoa areas need more rain Jamaica hopes it can sustain industry's recovery Vietnam pushes out coffee exports at great speed ,2/11/07,1.099,-0.0,0,0.0
25,25,2007,2,12,Title,Brazilians to be urged to drink more milk Alpina to distribute Meggle in Bulgaria ,2/12/07,1.0895,-0.009500000000000064,0,-0.008644222020018256
26,26,2007,2,13,Title,CBK gives more upbeat view of Kenyan coffee output ,2/13/07,1.0862,-0.0032999999999998586,0,-0.003028912345112307
27,27,2007,2,14,Title,"Milk escapes health advertising ruling Milk product prices, February 14 Milk escapes French health advertising ruling ",2/14/07,1.0812,-0.0050000000000001155,0,-0.004603203829865693
28,28,2007,2,15,Title,CBK sees climb in production Uganda lifts exports in January Record 2008 crop will cap prices weather Fine sales put coffee at lowest level in months Electronic softs trading rockets in New York Olam thrives in second quarter German dairy names Bulgarian agent Coffee export slump Colombian exports Starbucks sees future in East Africa Speaker forecasts steady increase in coffee prices Nybot announces pre-open schedule for extended electronic hours Starbucks works on relationship with East African farmers ,2/15/07,1.0877,0.00649999999999995,0,0.006011838697743203
29,29,2007,2,16,Title,Starbucks meets with press to dispute Ethiopian stories Speaker claims rise in global coffee price will be steady ,2/16/07,1.0966,0.00890000000000013,0,0.008182403236186568
30,30,2007,2,19,Title,"Starbucks 'will not oppose Ethiopia's efforts to obtain trademarks' Brazil 'not a threat' to NZ dairy sector, says Rabobank Risk management offers African coffee producers bright future, analysts say African gourmet coffees have huge potential, speakers say ",2/19/07,1.0966,-0.0,0,0.0
31,31,2007,2,20,Title,"Sugar, cocoa and coffee decline in London Producing coffee sustainably can increase productivity, expert says ",2/20/07,1.0838,-0.012799999999999923,0,-0.01167244209374423
32,32,2007,2,21,Title,"National promotion campaign to encourage milk consumption Milk product prices, February 21 India coffee festival seeks to boost domestic consumption ",2/21/07,1.0814,-0.0024000000000001798,0,-0.002214430706772633
