Date,Title,Price,Price_Change,Direction,Rate_of_Change,CV_Vectors,TFIDF_Vectors,Hash_Vectors
2007-01-02,India earns more from higher coffee exports in 2006 ,1.1506,0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-03,"Friesland raises stake in Indonesian subsidiary MILK PRODUCT PRICES IN EUROPE AND THE US Milk product prices, Jan 3 Starbucks reveals trans fat removal plan Indonesian coffee shipments stable after floods ",1.176,0.025399999999999867,0,0.02207543890144261,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-04,Nymex announces start date for soft commodity futures contracts Nybot mourns loss of president and chief executive Harry Falk ,1.1451,-0.030899999999999924,0,-0.026275510204081573,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-05,India's largest coffee chain extends to Pakistan ,1.1506,0.00550000000000006,0,0.00480307396733915,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-07,Honduran coffee sales Ugandan coffee funds Soyabean market wrong foots many traders Weather Costa Rican coffee Indian Coffee Board highlights rise in exports Colombia overcomes worst of its coffee crisis ,1.1506,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-09,McDonald's coffee to be certified as sustainable ,1.129,-0.021600000000000064,0,-0.018772814183904103,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-10,"MILK PRODUCT PRICES IN EUROPE AND THE US Milk product prices, January 10 Peru beats coffee export estimates ",1.1166,-0.012399999999999968,0,-0.010983170947741334,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-14,Fall in crude sees sugar hit three-month low McDonald's coffee plan Euronext.liffe's options come to the fore New Orleans port still recovering after Katrina Indonesia struggles with rain Peruvian coffee sales hit record Poor weather holds back Nicaraguan exports Entry of Asian producers shapes pepper market ,1.1166,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-15,Coke invests in Australian operation ,1.1166,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-16,"World coffee production to fall below demand in 2007/08, ICO says ",1.1364,0.01980000000000004,0,0.01773240193444388,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-17,"MILK PRODUCT PRICES IN EUROPE AND THE US Milk Product Prices, January 17 ",1.1407,0.0042999999999999705,0,0.0037838789158746657,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-18,Australian investment Nestle to scrutinise its Indonesian coffee purchases Ivory Coast battles cancer-causing toxin in its cocoa ,1.1402,-0.0004999999999999449,0,-0.0004383273428595993,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-19,Starbucks denies WWF allegations over coffee purchases ,1.1349,-0.005300000000000082,0,-0.0046483073145062994,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-21,weather Fight for acreage sends soyabeans higher High prices help Ivory Coast revitalise industry India takes advantage of Brazil's coffee woes Nestle coffee pledge Global trade convinced price of coffee will remain firm in 2007 New firms vie for Brazil's coffee sales ,1.1349,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-23,Officials from Ethiopia and Starbucks meet in Geneva Uganda sees coffee export boom in last month of 2006 Louis Dreyfus approves major investments in Brazil's agri sector ,1.176,0.04109999999999992,0,0.03621464446206707,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-24,"MILK PRODUCT PRICES IN EUROPE AND THE US Monsanto concedes sales of BST could be diminished Milk product prices, January 24 ",1.1051,-0.07089999999999996,0,-0.060289115646258475,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-28,Louis Dreyfus in Brazil push Selling by elevator firms eases canola futures Cuban coffee rebound Ivory Coast farmers enjoy high prices for beans Caterpillar invasion ravages Cameroon's cocoa Vietnamese farmers hoard coffee Brazil hangs on to coffee stocks Costa Ricans lament severe fungus outbreak ,1.1051,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-01-29,Indian coffee exports set to rise by over 15% from last year ,1.0984,-0.006699999999999928,0,-0.006062799746629199,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
