,year,month,day,level_3,Title,Date,Price
0,2007,1,2,Title,India earns more from higher coffee exports in 2006 ,1/2/07,1.1506
1,2007,1,3,Title,"Friesland raises stake in Indonesian subsidiary MILK PRODUCT PRICES IN EUROPE AND THE US Milk product prices, Jan 3 Starbucks reveals trans fat removal plan Indonesian coffee shipments stable after floods ",1/3/07,1.176
2,2007,1,4,Title,Nymex announces start date for soft commodity futures contracts Nybot mourns loss of president and chief executive Harry Falk ,1/4/07,1.1451
3,2007,1,5,Title,India's largest coffee chain extends to Pakistan ,1/5/07,1.1506
4,2007,1,7,Title,Honduran coffee sales Ugandan coffee funds Soyabean market wrong foots many traders Weather Costa Rican coffee Indian Coffee Board highlights rise in exports Colombia overcomes worst of its coffee crisis ,1/7/07,1.1506
5,2007,1,9,Title,McDonald's coffee to be certified as sustainable ,1/9/07,1.129
6,2007,1,10,Title,"MILK PRODUCT PRICES IN EUROPE AND THE US Milk product prices, January 10 Peru beats coffee export estimates ",1/10/07,1.1166
7,2007,1,14,Title,Fall in crude sees sugar hit three-month low McDonald's coffee plan Euronext.liffe's options come to the fore New Orleans port still recovering after Katrina Indonesia struggles with rain Peruvian coffee sales hit record Poor weather holds back Nicaraguan exports Entry of Asian producers shapes pepper market ,1/14/07,1.1166
8,2007,1,15,Title,Coke invests in Australian operation ,1/15/07,1.1166
9,2007,1,16,Title,"World coffee production to fall below demand in 2007/08, ICO says ",1/16/07,1.1364
10,2007,1,17,Title,"MILK PRODUCT PRICES IN EUROPE AND THE US Milk Product Prices, January 17 ",1/17/07,1.1407
11,2007,1,18,Title,Australian investment Nestle to scrutinise its Indonesian coffee purchases Ivory Coast battles cancer-causing toxin in its cocoa ,1/18/07,1.1402
12,2007,1,19,Title,Starbucks denies WWF allegations over coffee purchases ,1/19/07,1.1349
